"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-02","1999-01-05",1115,"MORON Nº 01","Buenos Aires","Nacional","1999","","S.WAGON","08","CHEVROLET","65","CORSA WAGON GL 1.7 DIESEL 1999","1","Privado","Física","MORON","BUENOS AIRES","No identificado","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-02","1998-11-03",1270,"TIGRE Nº 5","Buenos Aires","Importado","1998","","FURGON VIDRIADO C/AS","136","VOLKSWAGEN","131","TRANSPORTER","1","Privado","Física","EL TALAR","BUENOS AIRES","No identificado","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-24","1999-06-22",1115,"MORON Nº 01","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS","37","RENAULT","DV","CLIO RN 3P DIE PACK AA DA","1","Privado","Física","MORON","BUENOS AIRES","No identificado","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-02","2002-08-23",13010,"MENDOZA Nº 04","Mendoza","Nacional","2002","","BERLINA 4 PTAS.","37","RENAULT","EY","MEGANE RXE TD TRI S/TC F2/2002","1","Privado","Física","SAN JOSE","MENDOZA","Masculino","1961","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-18","1999-10-07",21015,"ROSARIO Nº 03","Santa Fe","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 LTS","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1978","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-20","2010-12-20",21016,"ROSARIO Nº 04","Santa Fe","Protocolo 21","2010","","GRUA CON PLANCHADA","063","IVECO","172","DAILY 55C16 PASO 3750","1","Privado","Jurídica","ROSARIO","SANTA FE","No aplica","1992","No aplica",100,"82",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-10","2011-03-30",1133,"SAN MIGUEL Nº 3","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","BELLA VISTA","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-13","2001-02-23",21003,"CASILDA Nº 1","Santa Fe","Nacional","2001","","RURAL 3 PUERTAS","34","PEUGEOT","03","PARPADDAA","1","Privado","Física","CHABAS","SANTA FE","Masculino","1973","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-23","1998-06-19",21058,"ROSARIO Nº 15","Santa Fe","Importado","1998","","SEDAN","006","CHEVROLET","085","CHEVROLET CORSA GL 1.6 4D WORL","1","Privado","Física","ROSARIO","SANTA FE","Femenino","1978","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-05","1997-03-06",1309,"MERLO Nº 5","Buenos Aires","Importado","1997","","TRANS.DE CARGA","139","TATA","005","609/38","1","Privado","Física","PONTEVEDRA","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-01-27","1994-06-21",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Importado","1994","","SEDAN","","PEUGEOT","","405 GRDT","1","Privado","Física","LUIS GUILLON","BUENOS AIRES","Masculino","1968","ARGENTINA",100,"06","ARG"
