"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-28","1998-10-06",21016,"ROSARIO Nº 04","Santa Fe","Nacional","1998","","BERLINA 3 PUERTAS","37","RENAULT","DQ","CLIO RL DIESEL 3P AA/DA","1","Privado","Física","ROSARIO","SANTA FE","Femenino","1992","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-27","1986-10-16",21058,"ROSARIO Nº 15","Santa Fe","Nacional","1986","","BERLINA 5 PTAS","37","RENAULT","20","11 TS","1","Privado","Física","GRANADERO BAIGORRIA","SANTA FE","Masculino","1979","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-17","2008-05-19",21043,"ROSARIO Nº 08","Santa Fe","Nacional","2008","","FURGON 600","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1966","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-14","2013-12-13",1149,"LA PLATA Nº 06","Buenos Aires","Protocolo 21","2013","","FURGON VIDRIADO C/ASIENTOS","044","FIAT","591","FIORINO FIRE 1242 MPI 8V","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-13","1996-08-13",1094,"TANDIL Nº 1","Buenos Aires","Nacional","1996","","BERLINA 3 PT AA","37","RENAULT","BD","CLIO RN 3PTAS. AA","1","Privado","Física","TANDIL","BUENOS AIRES","Femenino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-28","1981-01-16",1107,"LANUS Nº 2","Buenos Aires","Nacional","1981","","SEMIACOPLADO","76","PRATI-FRUEHAUF","26","PB-F3-HD-12,80 MTS./1981","1","Privado","Física","LANUS","BUENOS AIRES","No identificado","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-22","2000-11-10",1200,"SAN MARTIN Nº 6","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","80","CORSA GL 1.6 MPFI 5P (AA+DP)","1","Privado","Física","VILLA MADERO","BUENOS AIRES","Femenino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-09","2000-01-06",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6MPFI","1","Privado","Física","VILLA CELINA","BUENOS AIRES","Masculino","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-21","2001-04-06",1133,"SAN MIGUEL Nº 3","Buenos Aires","Nacional","2001","","COMBI 3550","29","MERCEDES BENZ","AE","SPRINTER 312D/C3550","1","Privado","Física","BELLA VISTA","BUENOS AIRES","Femenino","1956","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-11-10","1994-07-26",1237,"LOMAS DE ZAMORA Nº 7","Buenos Aires","Importado","1994","","SEDAN 4 PUERTAS","104","PEUGEOT","800","405 GRDT","1","Privado","Física","BANFIELD","BUENOS AIRES","Femenino","1977","ARGENTINA",100,"06","ARG"
