"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-07","2000-09-21",1183,"OLIVOS Nº 06","Buenos Aires","Nacional","2000","","FAMILIAR","37","RENAULT","EC","KANGOO RL DIE DA ABCP","1","Privado","Física","MUNRO","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-02","2001-04-17",1158,"TRES DE FEBRERO Nº 3","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","84","CORSA 3P. CITI 1.0 N","1","Privado","Física","3 DE FEBRERO","BUENOS AIRES","No identificado","2003","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-06","2003-10-22",1156,"HURLINGHAM Nº 1 (EX. MORON Nº 4)","Buenos Aires","Nacional","2003","","FURGON VID. C/ASIENTOS","37","RENAULT","KJ","KANGOO RL EXPRESS DIE 1PCL","1","Privado","Física","MORON","BUENOS AIRES","Masculino","1968","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-14","2004-01-06",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2004","","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","KB","KANGOO RN EXP. DIE DA AA 2PL","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-14","1999-11-04",1175,"LANUS Nº 5","Buenos Aires","Nacional","1999","","FURGÓN VIDRIADO CON ASIENTOS","37","RENAULT","EM","KANGOO RL EXPRESS","1","Privado","Física","MONTE CHINGOLO","BUENOS AIRES","Femenino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-22","1992-12-09",1240,"JOSE C. PAZ Nº 1","Buenos Aires","Nacional","1993","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","JOSE C. PAZ","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-06","2000-10-02",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2000","","RURAL 3 PTAS","07","CITROEN","06","BERLINGO DPL","1","Privado","Física","LAFERRERE","BUENOS AIRES","Masculino","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-14","1999-08-04",1266,"MALVINAS ARGENTINAS Nº 3","Buenos Aires","Nacional","1999","","S.WAGON","08","CHEVROLET","65","CORSA WAGON 5PTAS.GL A/AC","1","Privado","Física","ING. PABLO NOGUES","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-01","1999-11-08",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PTAS.WIND 1.6 LTS","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1968","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-02-07","2007-07-04",1113,"SAN VICENTE","Buenos Aires","Nacional","2007","","FURGON VIDRIADO C/ASIENTOS","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","A.KORN","BUENOS AIRES","Femenino","1995","ARGENTINA",100,"06","ARG"
