"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-23","1999-12-06",1311,"LA MATANZA Nº 14","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","52","CORSA 4 PTAS GL A/A Y D/P","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","No identificado","1968","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-16","2001-01-03",1306,"PILAR Nº 5","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL 1.7 DIESEL A","1","Privado","Física","PILAR","BUENOS AIRES","Femenino","1989","PERU",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-30","1994-09-02",2037,"CAPITAL FEDERAL Nº 037","Ciudad Autónoma de Bs.As.","Nacional","1994","","BERLINA 5 PTAS.","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1990","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-01","1995-04-20",4018,"LABOULAYE","Córdoba","Nacional","1995","","GRUA HIDRAULICA PLEG","29","MERCEDES BENZ","44","L 710D/37","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","CORDOBA","No aplica","2021","No aplica",100,"14",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-10","2000-09-12",1316,"JOSE C. PAZ Nº 3","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WINDS 1.6 MPFI","1","Privado","Física","JOSE C.PAZ","BUENOS AIRES","Masculino","1981","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-04","1999-01-06",2085,"CAPITAL FEDERAL Nº 085","Ciudad Autónoma de Bs.As.","Nacional","1999","","SEDAN","08","CHEVROLET","53","CORSA 4 PUERTAS GLS 1.6 MPFI","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1996","ARGENTINA",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-02","2000-04-10",2040,"CAPITAL FEDERAL Nº 040","Ciudad Autónoma de Bs.As.","Nacional","2000","","RURAL 3 PTAS","07","CITROEN","06","BERLINGO DPL","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1960","ARGENTINA",50,"02","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-29","1994-05-11",1311,"LA MATANZA Nº 14","Buenos Aires","Importado","1994","","SEDAN","104","PEUGEOT","050","405 GLD","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","No identificado","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-29","1993-04-21",1307,"LANUS Nº 10","Buenos Aires","Nacional","1993","","RURAL 4 PTAS","37","RENAULT","64","R21TXE BREAK NEVADA","1","Privado","Física","LANUS","BUENOS AIRES","Femenino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-01","1998-05-13",4044,"CORDOBA Nº 11","Córdoba","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 4D WORLD CUP","1","Privado","Física","CORDOBA","CORDOBA","No identificado","1989","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-02","2007-09-12",4043,"VILLA MARIA Nº 2","Córdoba","Protocolo 21","2007","","CAMION TRACTOR","092","MERCEDES BENZ","178","L-1624","1","Privado","Física","VILLA MARIA","CORDOBA","Masculino","1956","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-17","2000-02-25",1064,"MORENO Nº 1","Buenos Aires","Nacional","2000","","BERLINA 5 PTAS","37","RENAULT","DW","CLIO RN 5P DIE PACK AA DA","1","Privado","Física","MORENO","BUENOS AIRES","No identificado","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-25","1999-01-15",1115,"MORON Nº 01","Buenos Aires","Nacional","1999","","FURGON VIDRIADO","37","RENAULT","DG","TRAFIC CORTO DIESEL (F8Q)","1","Privado","Física","MORON","BUENOS AIRES","No identificado","1984","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-15","1999-09-17",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","75","CORSA 4P GL SUPER 1.6L","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","Masculino","1981","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-22","2000-10-27",21035,"SANTA FE Nº 3","Santa Fe","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 PTAS.WIND 1.6 MPFI","1","Privado","Física","SAN JOSÉ DEL RINCÓN","SANTA FE","Masculino","1993","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-01","1998-11-25",4075,"CORDOBA Nº 22","Córdoba","Nacional","1998","","BERLINA 3 PTAS","37","RENAULT","CC","RENAULT CLIO RL DIESEL 3 PTAS","1","Privado","Física","CORDOBA","CORDOBA","No identificado","2003","ARGENTINA",100,"14","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-08-08","1994-01-25",21016,"ROSARIO Nº 04","Santa Fe","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","90","19 RN BIC.","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1979","ARGENTINA",100,"82","ARG"
