"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-26","1994-08-25",21016,"ROSARIO Nº 04","Santa Fe","Importado","1994","","BREAK","044","FIAT","295","ELBA CSL","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1977","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-20","2009-02-04",21044,"ROSARIO Nº 09","Santa Fe","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","GRANADERO BAIGORRIA","SANTA FE","Masculino","1973","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-07","1996-12-13",21044,"ROSARIO Nº 09","Santa Fe","Nacional","1996","","BERLINA 5 PUERTAS","37","RENAULT","BB","CLIO RT 5PTAS","1","Privado","Física","ROSARIO","SANTA FE","Femenino","1979","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-27","1999-02-09",21039,"ROSARIO Nº 06","Santa Fe","Nacional","1999","","BERLINA 5 PUERTAS","37","RENAULT","DW","CLIO RN 5P DIE PACK AA DA","1","Privado","Física","ROSARIO","SANTA FE","No identificado","1971","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-15","2006-11-03",12006,"LA RIOJA Nº 4","La Rioja","Nacional","2006","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","VILLA SANAGASTA","LA RIOJA","Femenino","1977","ARGENTINA",100,"46","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-08","1999-06-11",13012,"MENDOZA Nº 06","Mendoza","Nacional","1999","","SEDAN 4 PUERTAS","08","CHEVROLET","67","CORSA 4 PUERTAS GL1.7 DIESEL A","1","Privado","Física","GODOY CRUZ","MENDOZA","Femenino","1982","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-07","2007-09-19",13013,"MENDOZA Nº 07","Mendoza","Nacional","2007","","FOURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","DORREGO","MENDOZA","Femenino","1958","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-22","2000-05-24",13035,"MENDOZA Nº 19","Mendoza","Nacional","2000","","SEDAN","08","CHEVROLET","79","CORSA WIND 1.6 M.P.F.I. 5P","1","Privado","Física","GODOY CRUZ","MENDOZA","Femenino","1999","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-25","2014-01-30",13031,"MAIPU Nº 1- MENDOZA","Mendoza","Nacional","2014","","FAMILIAR 5 ASIENTOS","07","CITROEN","AT","BERLINGO FURGON 1.4I FULL AM53","1","Privado","Física","LUZURIAGA","MENDOZA","No identificado","1991","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-18","1997-02-25",1146,"MERLO Nº 2","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS.","37","RENAULT","BT","CLIO RN 3PTAS PACK","1","Privado","Física","MERLO","BUENOS AIRES","Femenino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-28","1998-08-11",1118,"QUILMES Nº 2","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","BERNAL","BUENOS AIRES","Femenino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-08","1993-03-29",1122,"LOMAS DE ZAMORA Nº 2","Buenos Aires","Nacional","1993","","RURAL 4 PUERTAS","37","RENAULT","74","RENAULT 18 TS BREAK","1","Privado","Física","BANFIELD","BUENOS AIRES","Femenino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-19","2000-09-27",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2000","","5 PTAS.","08","CHEVROLET","80","CORSA GL 1.6 MPFI 5P (AA+DP)","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1946","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-29","1993-05-06",1126,"MAR DEL PLATA Nº 04","Buenos Aires","Importado","1993","","CAMIONETA","047","FORD","099","EXPLORER XLT","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-04","2006-03-03",1089,"SAN MARTIN Nº 2","Buenos Aires","Nacional","2006","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","VILLA BALLESTER","BUENOS AIRES","Masculino","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-15","1999-05-14",1134,"LANUS Nº 3","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","52","CORSA 4 PUERTAS GL A/A Y","1","Privado","Física","MONTE CHINGOLO","BUENOS AIRES","Masculino","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-13","2005-04-11",1136,"ADROGUE Nº 2","Buenos Aires","Nacional","2005","","FURGON VID.C/ASIENTO","07","CITROEN","19","BERLINGO FURGON 1.9D PACK","1","Privado","Física","RAFAEL CALZADA","BUENOS AIRES","Masculino","1964","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-25","2002-04-08",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Nacional","2002","","FURGON VIDRIADO","34","PEUGEOT","11","PARFUD8PLDAA","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-07","2000-04-12",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","2000","","FURGON 3550","29","MERCEDES BENZ","AC","SPRINTER 312D/F3550","1","Privado","Física","BURZACO","BUENOS AIRES","Masculino","1990","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-29","2000-01-21",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","2000","","5 PTAS","08","CHEVROLET","80","CORSA GL 1.6 MPFI 5P (AA+ DP)","1","Privado","Física","VILLA DE MAYO","BUENOS AIRES","Femenino","1974","ARGENTINA",100,"06","ARG"
"COMUNICACIÓN DE RECUPERO","2023-09-06","2008-06-30",1128,"SAN MIGUEL Nº 2","Buenos Aires","Nacional","2008","","CAJA TERMICA","29","MERCEDES BENZ","BH","SPRINTER 413 CDI/CH 4025","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","Femenino","1974","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-20","1999-02-01",1157,"MORON Nº 05","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","HAEDO","BUENOS AIRES","Masculino","1966","URUGUAY",100,"06","URY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-07","2007-04-24",1147,"LOMAS DE ZAMORA Nº 3","Buenos Aires","Nacional","2007","","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","TH","KANGOO EXP CONFORT 1.6","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-14","2009-06-08",1227,"LA MATANZA Nº 10","Buenos Aires","Protocolo 21","2006","","CAMION C/CAJA SINDER","063","IVECO","119","DAILY 35.10","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-14","2006-01-26",1124,"LANUS Nº 9","Buenos Aires","Protocolo 21","2006","","RURAL 5 PUERTAS","044","FIAT","046","PALIO ADVENTURE 1.8MPI V8","1","Privado","Física","REMEDIOS DE ESCALADA","BUENOS AIRES","Femenino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-04","2000-01-17",1062,"MERLO Nº 1","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","52","CORSA 4 PUERTAS GL A/A Y D/P","1","Privado","Física","LIBERTAD","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-09-19","2000-07-04",1192,"MORON Nº 07","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","76","CORSA WIND 1.7 DIESEL 3P","1","Privado","Física","MORON","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
