"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-28","2000-07-07",13016,"MENDOZA Nº 10","Mendoza","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","EL ZAPALLAR LAS HERAS","MENDOZA","No identificado","1988","No identificado",100,"50",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-14","1993-01-12",13029,"MENDOZA Nº 17","Mendoza","Nacional","1993","","BERLINA 5 PTAS.","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","LUJAN DE CUYO","MENDOZA","Masculino","1998","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-12","1998-04-08",21039,"ROSARIO Nº 06","Santa Fe","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","ROSARIO","SANTA FE","Femenino","1983","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-13","2006-03-03",13020,"MENDOZA Nº 12","Mendoza","Nacional","2006","","FURGON COURT TYPE 60","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","CHACRAS DE CORIA","MENDOZA","Masculino","1969","ESTADOS UNIDOS",100,"50","USA"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-11","1992-01-16",21015,"ROSARIO Nº 03","Santa Fe","Nacional","1992","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","ROSARIO - SANTA FE","SANTA FE","Masculino","1969","ARGENTINA",50,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-27","1998-07-17",1147,"LOMAS DE ZAMORA Nº 3","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1972","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-10","2008-09-29",1160,"SAN MARTIN Nº 4","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","J. L. SUAREZ SAN MARTIN","BUENOS AIRES","No identificado","1973","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-28","2007-04-24",1158,"TRES DE FEBRERO Nº 3","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","JOSE INGENIEROS","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-20","2000-06-16",1052,"LOBOS","Buenos Aires","Nacional","2000","","BERLINA 4 PTAS","37","RENAULT","FC","MEGANE RN TD TRI AA F2","1","Privado","Física","LOBOS","BUENOS AIRES","Femenino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-04-27","1998-07-31",1179,"SAN MARTIN Nº 5","Buenos Aires","Nacional","1998","","FURGON 3550","29","MERCEDES BENZ","91","SPRINTER310D/F3550","1","Privado","Física","VILLA MAIPU","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
