"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-22","1999-01-25",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL 1.7 DIE","1","Privado","Física","CIUDAD EVITA","BUENOS AIRES","No identificado","1986","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-18","2000-09-05",1163,"MAR DEL PLATA Nº 05","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 PUERTAS 1.0 N","1","Privado","Física","BATAN","BUENOS AIRES","Femenino","2000","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-18","1992-01-08",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","1992","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","SARANDI","BUENOS AIRES","Masculino","1984","ARGENTINA",58,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-27","2005-06-07",1112,"NAVARRO","Buenos Aires","Nacional","2005","","MINIBUS","29","MERCEDES BENZ","BP","SPRINTER 413 CDI/C 4025 /2005","1","Privado","Física","MORON","BUENOS AIRES","Masculino","1959","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-18","1999-10-27",1175,"LANUS Nº 5","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND. 1.6 LTS","1","Privado","Física","LANUS","BUENOS AIRES","No identificado","1998","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-21","2001-09-21",1167,"LOMAS DE ZAMORA Nº 5","Buenos Aires","Nacional","2001","","FURGON 3000","29","MERCEDES BENZ","AB","SPRINTER 312D/F3000","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1954","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-27","2001-07-24",1107,"LANUS Nº 2","Buenos Aires","Nacional","2001","","FURGON 3550","29","MERCEDES BENZ","AC","SPRINTER 312D/F3550","1","Privado","Física","LANUS OESTE","BUENOS AIRES","Masculino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-18","1998-04-29",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","G. CATAN","BUENOS AIRES","Masculino","1957","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-05","1993-01-13",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Protocolo 21","1992","","TRANSPORTE DE CARGA","024","CHEVROLET","181","C-20 CUSTOM","1","Privado","Física","9 DE ABRIL","BUENOS AIRES","No identificado","1972","BRASIL",100,"06","BRA"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-15","2001-06-12",1138,"OLIVOS Nº 04","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","77","CORSA 3 PTAS WIND 1.6 MPFI","1","Privado","Física","FLORIDA","BUENOS AIRES","Femenino","1934","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-29","2000-12-28",1001,"ADROGUE Nº 1","Buenos Aires","Nacional","2000","","BERLINA 3 PTAS.","37","RENAULT","CA","CLIO RL 3 PTAS.","1","Privado","Física","RAFAEL CALZADA ALTE.BROWN","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-19","2006-03-07",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2006","","FURGON COURT TYPE 600","07","CITROEN","39","BERLINGO FURGON 1.9D PLC","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Masculino","2002","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-22","2000-02-21",1178,"LA MATANZA Nº 08","Buenos Aires","Nacional","2000","","5 PTAS","08","CHEVROLET","79","CORSA WIND 1.6 MPFI 5P","1","Privado","Física","RAFAEL CASTILLO","BUENOS AIRES","Femenino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-22","1993-03-25",1203,"MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4)","Buenos Aires","Nacional","1993","","SEMIACOPLADO","09","SALTO","17","SA 13.00","1","Privado","Física","GRAND BOURG","BUENOS AIRES","Masculino","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-20","2008-09-11",21050,"ROSARIO Nº 12","Santa Fe","Nacional","2008","","FOURGON COURT TYPE 600","07","CITROEN","20","BERLINGO FURGON 1.9 D FULL","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1975","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-20","2000-10-02",21003,"CASILDA Nº 1","Santa Fe","Nacional","2000","","ACOPLADO BALANCIN","DL","METALURGICA MAURO","43","AB","1","Privado","Jurídica","CASILDA","SANTA FE","No aplica","1990","No aplica",100,"82",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-07","1997-07-08",1141,"TIGRE Nº 2","Buenos Aires","Nacional","1997","","CHASIS C/CABINA 3550","29","MERCEDES BENZ","95","SPRINTER 310 D/CH3550","1","Privado","Física","TIGRE","BUENOS AIRES","Femenino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-12","2001-04-10",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL1.7 DIESEL A","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-15","2008-11-24",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Femenino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-26","2001-06-08",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2001","","BERLINA 4 PUERTAS","37","RENAULT","FE","MEGANE RT TRI AA 16V F2","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Femenino","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-05","1999-03-05",1115,"MORON Nº 01","Buenos Aires","Nacional","1999","","BERLINA 5 PUERTAS","37","RENAULT","DU","CLIO RN 5 PTAS. PACK AA DA","1","Privado","Física","MORON","BUENOS AIRES","No identificado","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-12-13","1998-10-15",1242,"MAR DEL PLATA Nº 11","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","62","CORSA 4P GL 1.7 DIES.BASE","1","Privado","Física","BO. ESTACION CHAPADMALAL","BUENOS AIRES","Femenino","1986","ARGENTINA",100,"06","ARG"
