"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-09","2000-06-07",21070,"ROSARIO Nº 18","Santa Fe","Nacional","2000","","SEDAN","08","CHEVROLET","5S","CORSA WIND 1.7 DIESEL-3P","1","Privado","Física","PÉREZ","SANTA FE","Masculino","1993","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-06","2010-09-16",13030,"MENDOZA Nº 18","Mendoza","Nacional","2010","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","SAN JOSE GUAYMALLEN","MENDOZA","No identificado","1982","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-21","1994-01-04",13018,"MENDOZA Nº 11","Mendoza","Importado","1994","","SEDAN","","SUZUKI","","SWIFT GLX SF416NLX","1","Privado","Física","RODEO DE LA CRUZ GUAYMALLEN","MENDOZA","No identificado","1953","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-21","1999-02-25",21070,"ROSARIO Nº 18","Santa Fe","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL 1.7 DIE","1","Privado","Física","ROSARIO","SANTA FE","Masculino","1991","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-26","1994-01-24",21022,"SAN LORENZO Nº 1","Santa Fe","Nacional","1994","","BERLINA 5 PTAS.","37","RENAULT","90","RENAULT 19 RN BIC","1","Privado","Física","SAN LORENZO","SANTA FE","Masculino","1995","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-30","1994-07-15",21005,"CORONDA","Santa Fe","Importado","1994","","BERLINA 3 PUERTAS","112","RENAULT","004","TWINGO","1","Privado","Física","DESVIO ARIJON","SANTA FE","Femenino","1990","ARGENTINA",100,"82","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-23","1991-04-17",13021,"MENDOZA Nº 13","Mendoza","Nacional","1991","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","GODOY CRUZ","MENDOZA","Masculino","1950","ARGENTINA",100,"50","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-06","1999-06-18",1225,"SAN MARTIN Nº 7","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","SAN MARTIN","BUENOS AIRES","No identificado","1974","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-28","2009-03-03",1103,"ZARATE Nº 1","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","ZÁRATE","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-22","2000-10-20",1225,"SAN MARTIN Nº 7","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS GLS 1.6 8V N.","1","Privado","Física","JOSÉ LEÓN SUÁREZ","BUENOS AIRES","Femenino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-21","2005-11-01",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2005","","FURGON VIDRIADO C/A","34","PEUGEOT","DK","PARTNER FURGON 1.4 N","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","Femenino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-08","1996-03-05",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Nacional","1996","","BERLINA 5 PTAS","37","RENAULT","AH","RENAULT 19 RN INYEC.BIC","1","Privado","Física","CASEROS","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2023-06-02","1999-03-09",1192,"MORON Nº 07","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS","37","RENAULT","DV","CLIO RN 3P DIE PACK AA DA 1999","1","Privado","Física","CASTELAR","BUENOS AIRES","Masculino","2001","ARGENTINA",100,"06","ARG"
