seccional,direccion,localidad,direccion_limpia,direccion_completa_limpia,location,lat,lon
LOMAS DE ZAMORA Nº 3,PORTELA 542,LOMAS DE ZAMORA,PORTELA 542,"PORTELA 542, LOMAS DE ZAMORA, Argentina","542, Francisco Portela, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",-34.7566471,-58.4038934
LA MATANZA Nº 06,HIPOLITO YRIGOYEN 2569,SAN JUSTO,HIPOLITO YRIGOYEN 2569,"HIPOLITO YRIGOYEN 2569, SAN JUSTO, Argentina","2569, Hipólito Yrigoyen, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6787889,-58.5613964
LA MATANZA Nº 14,AVENIDA PERON 3566,SAN JUSTO,AVENIDA PERON 3566,"AVENIDA PERON 3566, SAN JUSTO, Argentina","3566, Avenida Presidente Juan Domingo Perón, Villa Sahores, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6794253,-58.5525064
MORON Nº 02,BARTOLOME MITRE 243,MORON,BARTOLOME MITRE 243,"BARTOLOME MITRE 243, MORON, Argentina","243, Bartolomé Mitre, Morón, Partido de Morón, Buenos Aires, B1708, Argentina",-34.6529577,-58.6134083
MORON Nº 01,AVENIDA RIVADAVIA 17486,MORON,AVENIDA RIVADAVIA 17486,"AVENIDA RIVADAVIA 17486, MORON, Argentina","17486, Avenida Rivadavia, Morón, Partido de Morón, Buenos Aires, B1708, Argentina",-34.6485578,-58.6105879
ESTEBAN ECHEVERRIA Nº 2,GENERAL RODRIGUEZ 454,MONTE GRANDE,GENERAL RODRIGUEZ 454,"GENERAL RODRIGUEZ 454, MONTE GRANDE, Argentina","454, General Rodríguez, Monte Grande, Partido de Esteban Echeverría, Buenos Aires, 1842, Argentina",-34.8175295,-58.4637689
SAN MIGUEL Nº 2,MAESTRO D'ELIA 766,SAN MIGUEL,MAESTRO D'ELIA 766,"MAESTRO D'ELIA 766, SAN MIGUEL, Argentina","Maestro Ángel D'Elía, San Miguel, Partido de San Miguel, Buenos Aires, B1663, Argentina",-34.5335092,-58.7208884
LOMAS DE ZAMORA Nº 1,PORTELA 485,LOMAS DE ZAMORA,PORTELA 485,"PORTELA 485, LOMAS DE ZAMORA, Argentina","485, Francisco Portela, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",-34.7565671,-58.402915
FLORENCIO VARELA Nº 3,MONTEAGUDO 3040,FLORENCIO VARELA,MONTEAGUDO 3040,"MONTEAGUDO 3040, FLORENCIO VARELA, Argentina","3040, Bernardo de Monteagudo, Centro, Florencio Varela, Partido de Florencio Varela, Buenos Aires, B1888, Argentina",-34.8072264,-58.2746658
ESTEBAN ECHEVERRIA Nº 1,ALEM 174,MONTE GRANDE,ALEM 174,"ALEM 174, MONTE GRANDE, Argentina","174, Leandro N. Alem, Monte Grande, Partido de Esteban Echeverría, Buenos Aires, 1842, Argentina",-34.8159089,-58.468466
MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5),SAN MARTIN 3184,LOS POLVORINES,SAN MARTIN 3184,"SAN MARTIN 3184, LOS POLVORINES, Argentina","San Martín, Los Polvorines, Partido de Malvinas Argentinas, Buenos Aires, B1613, Argentina",-34.5061879,-58.7043155
LA MATANZA Nº 15,HIPOLITO YRIGOYEN 2569,SAN JUSTO,HIPOLITO YRIGOYEN 2569,"HIPOLITO YRIGOYEN 2569, SAN JUSTO, Argentina","2569, Hipólito Yrigoyen, San Justo, Partido de La Matanza, Buenos Aires, 1754, Argentina",-34.6787889,-58.5613964
LA PLATA Nº 01,CALLE 16 1323,LA PLATA,CALLE 16 1323,"CALLE 16 1323, LA PLATA, Argentina","1323, Calle 16, La Plata, Partido de La Plata, Buenos Aires, 1900, Argentina",-34.9288959,-57.9515293
MORON Nº 07,AV. RIVADAVIA 15584,HAEDO,AV. RIVADAVIA 15584,"AV. RIVADAVIA 15584, HAEDO, Argentina","15584, Avenida Rivadavia, Güemes, Haedo, Partido de Morón, Buenos Aires, 1706, Argentina",-34.6440881,-58.5858218
MORON Nº 04 (EX. MORON Nº 9),BARTOLOME MITRE 2302,CASTELAR,BARTOLOME MITRE 2302,"BARTOLOME MITRE 2302, CASTELAR, Argentina","2302, Bartolomé Mitre, Castelar, Partido de Morón, Buenos Aires, B1712, Argentina",-34.6522799,-58.6380528
SAN MIGUEL Nº 3,MAESTRO ANGEL D'ELIA 766,SAN MIGUEL,MAESTRO ANGEL D'ELIA 766,"MAESTRO ANGEL D'ELIA 766, SAN MIGUEL, Argentina","Maestro Ángel D'Elía, San Miguel, Partido de San Miguel, Buenos Aires, B1663, Argentina",-34.5335092,-58.7208884
SAN MIGUEL Nº 1,MAESTRO ANGEL D'ELIA 766,SAN MIGUEL,MAESTRO ANGEL D'ELIA 766,"MAESTRO ANGEL D'ELIA 766, SAN MIGUEL, Argentina","Maestro Ángel D'Elía, San Miguel, Partido de San Miguel, Buenos Aires, B1663, Argentina",-34.5335092,-58.7208884
