seccional,direccion,localidad,direccion_limpia,direccion_completa_limpia,location,lat,lon
CAPITAL FEDERAL Nº 052,URUGUAY 694,CABA,URUGUAY 694,"URUGUAY 694, CABA, Argentina","694, Uruguay, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1138, Argentina",-34.6007447,-58.3869133
ROSARIO Nº 16,ALVEAR 336,ROSARIO,ALVEAR 336,"ALVEAR 336, ROSARIO, Argentina","336, Alvear, Alberto Olmedo, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, S2000, Argentina",-32.9380801,-60.6534261
SAN MARTIN Nº 2,RIVADAVIA 3886,SAN MARTIN,RIVADAVIA 3886,"RIVADAVIA 3886, SAN MARTIN, Argentina","3886, 60 - Presidente Bernardino Rivadavia, General San Martín, Partido de General San Martín, Buenos Aires, B1650BOC, Argentina",-34.5750624,-58.5424171
MENDOZA Nº 13,BELGRANO 661,MENDOZA,BELGRANO 661,"BELGRANO 661, MENDOZA, Argentina","Distrito Belgrano, Departamento Guaymallén, Mendoza, Argentina",-32.8841754,-68.7985897
CAPITAL FEDERAL Nº 025,VIAMONTE 759,CABA,VIAMONTE 759,"VIAMONTE 759, CABA, Argentina","Viamonte 759, Viamonte, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1053, Argentina",-34.5999675,-58.3777038
CAPITAL FEDERAL Nº 064,RIVADAVIA 969,CABA,RIVADAVIA 969,"RIVADAVIA 969, CABA, Argentina","969, Rivadavia, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1002AAH, Argentina",-34.6083016,-58.3801429
CAPITAL FEDERAL Nº 084,SUIPACHA 745,CABA,SUIPACHA 745,"SUIPACHA 745, CABA, Argentina","745, Suipacha, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1054AAC, Argentina",-34.5996447,-58.379651
PILAR Nº 5,SILVIO BRASCHI 506,PILAR,SILVIO BRASCHI 506,"SILVIO BRASCHI 506, PILAR, Argentina","Silvio Braschi, Villa Morra, Pilar, Partido del Pilar, Buenos Aires, 1633, Argentina",-34.4640056,-58.9126536
CAPITAL FEDERAL Nº 058,TALCAHUANO 750,CABA,TALCAHUANO 750,"TALCAHUANO 750, CABA, Argentina","750, Talcahuano, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1013, Argentina",-34.5998377,-58.3855126
CAPITAL FEDERAL Nº 014,25 DE MAYO 445,CABA,25 DE MAYO 445,"25 DE MAYO 445, CABA, Argentina","445, 25 de Mayo, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1043AAC, Argentina",-34.6025205,-58.3710761
CAPITAL FEDERAL Nº 060,VIAMONTE 1465,CABA,VIAMONTE 1465,"VIAMONTE 1465, CABA, Argentina","1465, Viamonte, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1138, Argentina",-34.6005631,-58.3876152
CAPITAL FEDERAL Nº 055,SUIPACHA 570,CABA,SUIPACHA 570,"SUIPACHA 570, CABA, Argentina","570, Suipacha, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1054AAH, Argentina",-34.6016817,-58.3796368
CAPITAL FEDERAL Nº 035,MORENO 1270,CABA,MORENO 1270,"MORENO 1270, CABA, Argentina","Moreno, Bernardo de Irigoyen, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, P1091, Argentina",-34.6124679,-58.3805267
ROSARIO Nº 15,MONTEVIDEO 2534,ROSARIO,MONTEVIDEO 2534,"MONTEVIDEO 2534, ROSARIO, Argentina","2534, Montevideo, Nuestra Señora de Lourdes, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, S2000, Argentina",-32.9525653,-60.6602984
CORDOBA Nº 09,BOLIVAR 307,CORDOBA,BOLIVAR 307,"BOLIVAR 307, CORDOBA, Argentina","307, General Simón Bolivar, Villa de Emergencia El Chaparral, Centro, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina",-31.4178042,-64.1920989
CAPITAL FEDERAL Nº 039,HIPOLITO YRIGOYEN 1116,CABA,HIPOLITO YRIGOYEN 1116,"HIPOLITO YRIGOYEN 1116, CABA, Argentina","Hipólito Yrigoyen, Santa Magdalena, Barracas, Buenos Aires, Distrito del Diseño, Comuna 4, Ciudad Autónoma de Buenos Aires, C1293ABA, Argentina",-34.6536024,-58.3789065
CAPITAL FEDERAL Nº 007,DOCTOR RODOLFO RIVAROLA 118,CABA,DOCTOR RODOLFO RIVAROLA 118,"DOCTOR RODOLFO RIVAROLA 118, CABA, Argentina","Escuela Primaria Común 17 Rodolfo Rivarola, 3341, Helguera, Villa del Parque, Buenos Aires, Comuna 11, Ciudad Autónoma de Buenos Aires, 1417, Argentina",-34.5981073,-58.4952532
CORDOBA Nº 25,RECTA MARTINOLI 6980,CORDOBA,RECTA MARTINOLI 6980,"RECTA MARTINOLI 6980, CORDOBA, Argentina","6980, Avenida Recta Martinoli, Argüello, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5022, Argentina",-31.347911,-64.2605008
CAPITAL FEDERAL Nº 037,TACUARI 163,CABA,TACUARI 163,"TACUARI 163, CABA, Argentina","163, Tacuarí, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1091AAQ, Argentina",-34.6101996,-58.3792014
CORDOBA Nº 06,RIVADEO 1570,CORDOBA,RIVADEO 1570,"RIVADEO 1570, CORDOBA, Argentina","1570, Rivadeo, Alta Córdoba, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5001, Argentina",-31.3990565,-64.1804935
MENDOZA Nº 07,BELGRANO 679,MENDOZA,BELGRANO 679,"BELGRANO 679, MENDOZA, Argentina","Distrito Belgrano, Departamento Guaymallén, Mendoza, Argentina",-32.8841754,-68.7985897
MAR DEL PLATA Nº 12,BARTOLOME MITRE 2659,MAR DEL PLATA,BARTOLOME MITRE 2659,"BARTOLOME MITRE 2659, MAR DEL PLATA, Argentina","2659, Bartolomé Mitre, Centro, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, 7606, Argentina",-38.0060766,-57.5552299
CAPITAL FEDERAL Nº 011,PARANA 145,CABA,PARANA 145,"PARANA 145, CABA, Argentina","145, Paraná, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1037ACC, Argentina",-34.6071771,-58.3877289
MAR DEL PLATA Nº 05,ESPAÑA 3463,MAR DEL PLATA,ESPAÑA 3463,"ESPAÑA 3463, MAR DEL PLATA, Argentina","3463, España, San José, Plaza Peralta Ramos, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, B7602GGC, Argentina",-38.0088192,-57.5675339
CAPITAL FEDERAL Nº 009,AVENIDA PRESIDENTE JULIO A ROCA 620,CABA,AVENIDA PRESIDENTE JULIO A ROCA 620,"AVENIDA PRESIDENTE JULIO A ROCA 620, CABA, Argentina","620, Avenida Presidente Julio A. Roca, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1067ABB, Argentina",-34.6107011,-58.3750684
CAPITAL FEDERAL Nº 029,LIBERTAD 434,CABA,LIBERTAD 434,"LIBERTAD 434, CABA, Argentina","434, Libertad, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1043AAL, Argentina",-34.6033852,-58.3838062
CAPITAL FEDERAL Nº 005,SANTIAGO DEL ESTERO 217,CABA,SANTIAGO DEL ESTERO 217,"SANTIAGO DEL ESTERO 217, CABA, Argentina","217, Santiago del Estero, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1085, Argentina",-34.6112454,-58.3848766
MENDOZA Nº 01,BELGRANO 679,MENDOZA,BELGRANO 679,"BELGRANO 679, MENDOZA, Argentina","Distrito Belgrano, Departamento Guaymallén, Mendoza, Argentina",-32.8841754,-68.7985897
CAPITAL FEDERAL Nº 065,SANTIAGO DEL ESTERO 150,CABA,SANTIAGO DEL ESTERO 150,"SANTIAGO DEL ESTERO 150, CABA, Argentina","150, Santiago del Estero, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1085, Argentina",-34.6104138,-58.3847726
BERAZATEGUI Nº 5,AVENIDA MITRE 1321,BERAZATEGUI,AVENIDA MITRE 1321,"AVENIDA MITRE 1321, BERAZATEGUI, Argentina","1321, Avenida Mitre, Berazategui, Partido de Berazategui, Buenos Aires, B1880BFS, Argentina",-34.7588496,-58.2057623
CAPITAL FEDERAL Nº 046,PARANA 145,CABA,PARANA 145,"PARANA 145, CABA, Argentina","145, Paraná, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1037ACC, Argentina",-34.6071771,-58.3877289
ZARATE Nº 3,GENERAL PAZ 704,ZARATE,GENERAL PAZ 704,"GENERAL PAZ 704, ZARATE, Argentina","704, General Paz, Zárate, Partido de Zárate, Buenos Aires, 2800, Argentina",-34.0936986,-59.025346
CAPITAL FEDERAL Nº 092,AVENIDA CALLAO 220,CABA,AVENIDA CALLAO 220,"AVENIDA CALLAO 220, CABA, Argentina","220, Avenida Callao, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1022AAC, Argentina",-34.6065495,-58.3922769
VILLA ALLENDE Nº 1,AVENIDA GOYCOECHEA 589,VILLA ALLENDE,AVENIDA GOYCOECHEA 589,"AVENIDA GOYCOECHEA 589, VILLA ALLENDE, Argentina","Avenida Goycoechea, Villa Allende Centro, Villa Allende, Municipio de Villa Allende, Pedanía Calera Norte, Departamento Colón, Córdoba, X5111, Argentina",-31.2970227,-64.2917088
OLIVOS Nº 05,JULIO ARGENTINO ROCA 4250,FLORIDA,JULIO ARGENTINO ROCA 4250,"JULIO ARGENTINO ROCA 4250, FLORIDA, Argentina","4250, General Julio Argentino Roca, Barrio Las Flores, Florida Oeste, Vicente López, Partido de Vicente López, Buenos Aires, B1605CYC, Argentina",-34.5426022,-58.5150793
CAPITAL FEDERAL Nº 044,AVENIDA BELGRANO 845,CABA,AVENIDA BELGRANO 845,"AVENIDA BELGRANO 845, CABA, Argentina","845, Avenida Belgrano, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1095, Argentina",-34.612773,-58.3782573
CORDOBA Nº 14,NICOLAS BERROTARAN 1917,CORDOBA,NICOLAS BERROTARAN 1917,"NICOLAS BERROTARAN 1917, CORDOBA, Argentina","1917, Nicolás Berrotarán, Cerro de las Rosas, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5009, Argentina",-31.3759118,-64.2300093
SAN ISIDRO Nº 05,HIPOLITO YRIGOYEN 433,MARTINEZ,HIPOLITO YRIGOYEN 433,"HIPOLITO YRIGOYEN 433, MARTINEZ, Argentina","433, Hipólito Yrigoyen, Martínez, Partido de San Isidro, Buenos Aires, B1640BNP, Argentina",-34.4919794,-58.505748
ALTA GRACIA Nº 2,CARIGNANI 421,ALTA GRACIA,CARIGNANI 421,"CARIGNANI 421, ALTA GRACIA, Argentina","421, Doctor Dino Carignani, Norte, Alta Gracia, Municipio de Alta Gracia, Pedanía Alta Gracia, Departamento Santa María, Córdoba, X5186, Argentina",-31.6571587,-64.428623
MAR DEL PLATA Nº 02,RAWSON 3039,MAR DEL PLATA,RAWSON 3039,"RAWSON 3039, MAR DEL PLATA, Argentina","3039, Rawson, Vieja Terminal, Plaza Peralta Ramos, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, B7600DTR, Argentina",-38.0051635,-57.5577355
ROSARIO Nº 14,BALCARCE 615,ROSARIO,BALCARCE 615,"BALCARCE 615, ROSARIO, Argentina","615, Balcarce, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, S2000, Argentina",-32.9418471,-60.6513279
CAPITAL FEDERAL Nº 071,SAN JOSE 352,CABA,SAN JOSE 352,"SAN JOSE 352, CABA, Argentina","352, San José, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1091ABA, Argentina",-34.6128026,-58.3860661
MENDOZA Nº 02,BELGRANO 679,MENDOZA,BELGRANO 679,"BELGRANO 679, MENDOZA, Argentina","Distrito Belgrano, Departamento Guaymallén, Mendoza, Argentina",-32.8841754,-68.7985897
CAPITAL FEDERAL Nº 047,VIAMONTE 640,CABA,VIAMONTE 640,"VIAMONTE 640, CABA, Argentina","640, Viamonte, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1043AAA, Argentina",-34.5999507,-58.3759449
MAR DEL PLATA Nº 06,MITRE 2967,MAR DEL PLATA,MITRE 2967,"MITRE 2967, MAR DEL PLATA, Argentina","2967, Bartolomé Mitre, Centro, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, 7606, Argentina",-38.0084912,-57.5571711
CORDOBA Nº 20,MARIANO MORENO 475,CORDOBA,MARIANO MORENO 475,"MARIANO MORENO 475, CORDOBA, Argentina","475, Mariano Moreno, Luis de Tejeda, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina",-31.3173223,-64.3024491
ALTA GRACIA Nº 1,AGUSTIN AGUIRRE 220,ALTA GRACIA,AGUSTIN AGUIRRE 220,"AGUSTIN AGUIRRE 220, ALTA GRACIA, Argentina","220, Agustín Aguirre, Norte, Alta Gracia, Municipio de Alta Gracia, Pedanía Alta Gracia, Departamento Santa María, Córdoba, X5186, Argentina",-31.6546764,-64.4320879
MAR DEL PLATA Nº 09,AVENIDA INDEPENDENCIA 2342,MAR DEL PLATA,AVENIDA INDEPENDENCIA 2342,"AVENIDA INDEPENDENCIA 2342, MAR DEL PLATA, Argentina","BYKOM, 2342, Avenida Independencia, Plaza Peralta Ramos, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, 7600, Argentina",-38.0017052,-57.5570708
CAPITAL FEDERAL Nº 077,PARANA 785,CABA,PARANA 785,"PARANA 785, CABA, Argentina","785, Paraná, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1138, Argentina",-34.5996416,-58.3880832
CAPITAL FEDERAL Nº 024,M.T DE ALVEAR 1252,CABA,M.T DE ALVEAR 1252,"M.T DE ALVEAR 1252, CABA, Argentina","Azcuénaga y M.T. de Alvear, Azcuénaga, Barrio Norte, Recoleta, Buenos Aires, Comuna 2, Ciudad Autónoma de Buenos Aires, C1115AAF, Argentina",-34.5965923,-58.4002867
TIGRE Nº 1,SARMIENTO 509,TIGRE,SARMIENTO 509,"SARMIENTO 509, TIGRE, Argentina","509, Sarmiento, Tigre, Partido de Tigre, Buenos Aires, B1648AQE, Argentina",-34.4243653,-58.5758017
CAPITAL FEDERAL Nº 093,MONTEVIDEO 373,CABA,MONTEVIDEO 373,"MONTEVIDEO 373, CABA, Argentina","373, Montevideo, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1019, Argentina",-34.6046307,-58.3893117
CAPITAL FEDERAL Nº 041,AVENIDA DE MAYO 881,CABA,AVENIDA DE MAYO 881,"AVENIDA DE MAYO 881, CABA, Argentina","881, Avenida de Mayo, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1002AAT, Argentina",-34.6087384,-58.378885
CAPITAL FEDERAL Nº 074,SANTIAGO DEL ESTERO 345,CABA,SANTIAGO DEL ESTERO 345,"SANTIAGO DEL ESTERO 345, CABA, Argentina","345, Santiago del Estero, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1091ABA, Argentina",-34.6126525,-58.3847806
VILLA ALLENDE Nº 2,ECHEVERRIA 48,VILLA ALLENDE,ECHEVERRIA 48,"ECHEVERRIA 48, VILLA ALLENDE, Argentina","Echeverría, Villa Allende Centro, Villa Allende, Municipio de Villa Allende, Pedanía Calera Norte, Departamento Colón, Córdoba, X5111, Argentina",-31.296506,-64.2916282
TIGRE Nº 3,ITALIA 1287,TIGRE,ITALIA 1287,"ITALIA 1287, TIGRE, Argentina","Italia, Villa Adalguiza, San Fernando, Partido de San Fernando, Buenos Aires, B1648CIG, Argentina",-34.4448697,-58.5772871
ROSARIO Nº 10,CORRIENTES 2550,ROSARIO,CORRIENTES 2550,"CORRIENTES 2550, ROSARIO, Argentina","2550, Corrientes, Abasto, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, S2000, Argentina",-32.9662632,-60.6475875
CAPITAL FEDERAL Nº 075,JULIO A ROCA 672,CABA,JULIO A ROCA 672,"JULIO A ROCA 672, CABA, Argentina","672, Avenida Presidente Julio A. Roca, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1067ABB, Argentina",-34.6111735,-58.3755747
CAPITAL FEDERAL Nº 045,SAN JOSE 151,CABA,SAN JOSE 151,"SAN JOSE 151, CABA, Argentina","151, San José, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1091ABA, Argentina",-34.6105502,-58.386255
BERISSO Nº 1,CALLE 4 4407,BERISSO,CALLE 4 4407,"CALLE 4 4407, BERISSO, Argentina","4407, Calle 4, Barrio Nautico, Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina",-34.8667197,-57.8903809
MENDOZA Nº 12,SAN JUAN 115,MENDOZA,SAN JUAN 115,"SAN JUAN 115, MENDOZA, Argentina","Centro Goma, 115, San Juan, Bombal, Ciudad de Mendoza, Sección 2ª Barrio Cívico, Departamento Capital, Mendoza, M5500GEE, Argentina",-32.9022637,-68.8413021
LA PLATA Nº 16,CAMINO CENTENARIO 500,CITY BELL,CAMINO CENTENARIO 500,"CAMINO CENTENARIO 500, CITY BELL, Argentina","Camino Parque Centenario, Barrio Hípico, City Bell, Partido de La Plata, Buenos Aires, 1896, Argentina",-34.8651788,-58.0442746
LA CALERA,GARCIA LORCA 437,LA CALERA,GARCIA LORCA 437,"GARCIA LORCA 437, LA CALERA, Argentina","Federico García Lorca, Los Prados, Barrio Industrial, La Calera, Pedanía Calera Norte, Departamento Colón, Córdoba, X5111, Argentina",-31.3589451,-64.3415987
CAPITAL FEDERAL Nº 078,TACUARI 163,CABA,TACUARI 163,"TACUARI 163, CABA, Argentina","163, Tacuarí, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1091AAQ, Argentina",-34.6101996,-58.3792014
TIGRE Nº 2,AVENIDA DARDO ROCHA 329,TIGRE,AVENIDA DARDO ROCHA 329,"AVENIDA DARDO ROCHA 329, TIGRE, Argentina","329, Avenida Dardo Rocha, Tigre, Partido de Tigre, Buenos Aires, B1648FLD, Argentina",-34.4329101,-58.5698477
LA PLATA Nº 15,CAMINO PARQUE CENTENARIO 869,CITY BELL,CAMINO PARQUE CENTENARIO 869,"CAMINO PARQUE CENTENARIO 869, CITY BELL, Argentina","Camino Parque Centenario, Barrio Santa Ana, City Bell, Partido de La Plata, Buenos Aires, 1896, Argentina",-34.8636569,-58.0491245
CAPITAL FEDERAL Nº 003,LAVALLE 1759,CABA,LAVALLE 1759,"LAVALLE 1759, CABA, Argentina","Lavalle, Esmeralda, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1049AAQ, Argentina",-34.6017393,-58.3781082
ROSARIO Nº 09,RIOJA 2410,ROSARIO,RIOJA 2410,"RIOJA 2410, ROSARIO, Argentina","2410, Rioja, Nuestra Señora de Lourdes, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, S2000, Argentina",-32.9442818,-60.6565426
TIGRE Nº 4,AVENIDA CAZON 1113,TIGRE,AVENIDA CAZON 1113,"AVENIDA CAZON 1113, TIGRE, Argentina","Avenida Cazón, Almirante Brown, Tigre, Partido de Tigre, Buenos Aires, B1648EWN, Argentina",-34.4347985,-58.5670451
CAPITAL FEDERAL Nº 006,PARANA 145,CABA,PARANA 145,"PARANA 145, CABA, Argentina","145, Paraná, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1037ACC, Argentina",-34.6071771,-58.3877289
CAPITAL FEDERAL Nº 070,PARANA 145,CABA,PARANA 145,"PARANA 145, CABA, Argentina","145, Paraná, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1037ACC, Argentina",-34.6071771,-58.3877289
BERISSO Nº 2,CALLE 13 4320,BERISSO,CALLE 13 4320,"CALLE 13 4320, BERISSO, Argentina","4320, Calle 13, Villa Porteña, Berisso, Partido de Berisso, Buenos Aires, 1923, Argentina",-34.8718837,-57.8820146
LA PLATA Nº 17,CALLE 54 520,LA PLATA,CALLE 54 520,"CALLE 54 520, LA PLATA, Argentina","520, Calle 54, La Plata, Partido de La Plata, Buenos Aires, B1900FLP, Argentina",-34.9152371,-57.9453992
ZARATE Nº 2,AVENIDA GALLESIO 240,ZARATE,AVENIDA GALLESIO 240,"AVENIDA GALLESIO 240, ZARATE, Argentina","240, Avenida Gallesio, Zárate, Partido de Zárate, Buenos Aires, 2800, Argentina",-34.1024284,-59.0328768
ROSARIO Nº 04,BROWN 1675,ROSARIO,BROWN 1675,"BROWN 1675, ROSARIO, Argentina","1675, Almirante Brown, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, S2000, Argentina",-32.9357722,-60.6437716
CAPITAL FEDERAL Nº 062,AVENIDA DE MAYO 881,CABA,AVENIDA DE MAYO 881,"AVENIDA DE MAYO 881, CABA, Argentina","881, Avenida de Mayo, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1002AAT, Argentina",-34.6087384,-58.378885
CAPITAL FEDERAL Nº 067,SARMIENTO 1889,CABA,SARMIENTO 1889,"SARMIENTO 1889, CABA, Argentina","1889, Sarmiento, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1025AAG, Argentina",-34.6056864,-58.3934799
MENDOZA Nº 19,SAN MARTIN 89,MENDOZA,SAN MARTIN 89,"SAN MARTIN 89, MENDOZA, Argentina","89, San Martín, Maipú, Departamento Maipú, Mendoza, M5515BLB, Argentina",-32.9838405,-68.7890863
MENDOZA Nº 11,RIVADAVIA 721,MENDOZA,RIVADAVIA 721,"RIVADAVIA 721, MENDOZA, Argentina","721, Rivadavia, Distrito San José, Departamento Guaymallén, Mendoza, M5500CJI, Argentina",-32.8860999,-68.8202173
OLIVOS Nº 10,UGARTE 2602,OLIVOS,UGARTE 2602,"UGARTE 2602, OLIVOS, Argentina","Gobernador Marcelino Ugarte, Olivos, Vicente López, Partido de Vicente López, Buenos Aires, B1636AGA, Argentina",-34.5146068,-58.4924613
LA PLATA Nº 12,AVENIDA 7 635,LA PLATA,AVENIDA 7 635,"AVENIDA 7 635, LA PLATA, Argentina","635, Avenida 7, Microcentro, La Plata, Partido de La Plata, Buenos Aires, 1900, Argentina",-34.9114909,-57.9544812
CAPITAL FEDERAL Nº 013,CORRIENTES 1145,CABA,CORRIENTES 1145,"CORRIENTES 1145, CABA, Argentina","Astor, 1145, Avenida Corrientes, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1043AAL, Argentina",-34.6036493,-58.3828532
ZARATE Nº 1,RIVADAVIA 1314,ZARATE,RIVADAVIA 1314,"RIVADAVIA 1314, ZARATE, Argentina","Registro del Automotor 1, 1314, Rivadavia, Zárate, Partido de Zárate, Buenos Aires, B2800GMB, Argentina",-34.0988288,-59.0307252
MAR DEL PLATA Nº 04,BARTOLOME MITRE 2659,MAR DEL PLATA,BARTOLOME MITRE 2659,"BARTOLOME MITRE 2659, MAR DEL PLATA, Argentina","2659, Bartolomé Mitre, Centro, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, 7606, Argentina",-38.0060766,-57.5552299
MAR DEL PLATA Nº 07,H. YRIGOYEN 3252,MAR DEL PLATA,H. YRIGOYEN 3252,"H. YRIGOYEN 3252, MAR DEL PLATA, Argentina","Hipólito Yrigoyen, La Perla, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, B7600DRN, Argentina",-37.994251,-57.5468675
LA PLATA Nº 04,AVDA. 13 53,LA PLATA,AVDA. 13 53,"AVDA. 13 53, LA PLATA, Argentina","53, Avenida 13, La Loma, La Plata, Partido de La Plata, Buenos Aires, 1900, Argentina",-34.9072544,-57.9739099
MAR DEL PLATA Nº 03,HIPOLITO YRIGOYEN 2831,MAR DEL PLATA,HIPOLITO YRIGOYEN 2831,"HIPOLITO YRIGOYEN 2831, MAR DEL PLATA, Argentina","2831, Hipólito Yrigoyen, Centro, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, 7606, Argentina",-38.0069994,-57.5573705
CAPITAL FEDERAL Nº 085,LAVALLE 1625,CABA,LAVALLE 1625,"LAVALLE 1625, CABA, Argentina","1625, Lavalle, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1048AAM, Argentina",-34.6029517,-58.3899436
CAPITAL FEDERAL Nº 036,MORENO 1270,CABA,MORENO 1270,"MORENO 1270, CABA, Argentina","Moreno, Bernardo de Irigoyen, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, P1091, Argentina",-34.6124679,-58.3805267
LUJAN Nº 2,COLON 790,LUJAN,COLON 790,"COLON 790, LUJAN, Argentina","Colon, Barrrio San Martín, Centro, Municipio de Santo Tomé, Departamento La Capital, S3016, Argentina",-31.6691454,-60.7588035
CAPITAL FEDERAL Nº 091,ALSINA 1433,CABA,ALSINA 1433,"ALSINA 1433, CABA, Argentina","1433, Adolfo Alsina, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1089AAB, Argentina",-34.6110702,-58.3866433
ROSARIO Nº 01,MAIPU 1560,ROSARIO,MAIPU 1560,"MAIPU 1560, ROSARIO, Argentina","1560, Maipú, Martin, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, S2000, Argentina",-32.956155,-60.6377318
CAPITAL FEDERAL Nº 063,LIBERTAD 434,CABA,LIBERTAD 434,"LIBERTAD 434, CABA, Argentina","434, Libertad, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1043AAL, Argentina",-34.6033852,-58.3838062
OLIVOS Nº 09,BARREIRO AGUIRRE 4167,OLIVOS,BARREIRO AGUIRRE 4167,"BARREIRO AGUIRRE 4167, OLIVOS, Argentina","4167, Doctor Barreiro Aguirre, Villa Gándara, Olivos, Vicente López, Partido de Vicente López, Buenos Aires, B1605BNA, Argentina",-34.5083664,-58.5170741
MAR DEL PLATA Nº 08,DORREGO 2826,MAR DEL PLATA,DORREGO 2826,"DORREGO 2826, MAR DEL PLATA, Argentina","2826, Manuel Dorrego, Plaza Peralta Ramos, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, 7600, Argentina",-38.002412,-57.5663263
MAR DEL PLATA Nº 10,CORRIENTES 1847,MAR DEL PLATA,CORRIENTES 1847,"CORRIENTES 1847, MAR DEL PLATA, Argentina","1847, Corrientes, Centro, Mar del Plata, Partido de General Pueyrredón, Buenos Aires, B7600JUW, Argentina",-38.0021012,-57.5450056
CAPITAL FEDERAL Nº 018,ALSINA 1290,CABA,ALSINA 1290,"ALSINA 1290, CABA, Argentina","Alsina, Adolfo Alsina, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1089AAH, Argentina",-34.611484,-58.3904708
