tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,1985-07-02,2005,CAPITAL FEDERAL Nº 005,Ciudad Autónoma de Buenos Aires,Nacional,1985,20,PICK-UP,19,FORD,18,RANCHERO VERSION 3.0 L,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1975,No identificado,100,02,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,2016-11-21,1209,BERAZATEGUI Nº 3,Buenos Aires,Nacional,2016,12,SEDAN 4 PUERTAS,07,CITROEN,DZ,C4 LOUNGE 143 FEEL PACK,1,Privado,Física,BERAZATEGUI,BUENOS AIRES,No identificado,1989,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,2010-11-03,1209,BERAZATEGUI Nº 3,Buenos Aires,Nacional,2010,18,SEDAN 3 PTAS,34,PEUGEOT,JF,207 COMPACT XR 1.4 3P,1,Privado,Física,HUDSON,BUENOS AIRES,No identificado,1991,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,2017-03-16,2058,CAPITAL FEDERAL Nº 058,Ciudad Autónoma de Buenos Aires,Protocolo 21,2017,02,SEDAN 4 PUERTAS,112,RENAULT,986,NUEVO LOGAN PRIVILEGE 1.6 16V,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1953,ARGENTINA,100,02,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,2008-08-01,1182,SAN NICOLAS Nº 2,Buenos Aires,Nacional,2008,12,SEDAN 4 PTAS,07,CITROEN,50,C4 1.6I X,1,Privado,Física,SAN NICOLAS,BUENOS AIRES,Femenino,1976,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,2011-07-27,4056,CORDOBA Nº 15,Córdoba,Importado,2011,02,SEDAN 4 PTAS,136,VOLKSWAGEN,285,BORA 2.0,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1951,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,1991-04-30,1264,ADROGUE Nº 5,Buenos Aires,Nacional,1991,12,SEDAN 4 PTAS,17,FIAT,59,DUNA SC,1,Privado,Física,ADROGUÉ.-.,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,2007-09-07,1264,ADROGUE Nº 5,Buenos Aires,Protocolo 21,2007,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,393,FOX 1.6 ROUTE,1,Privado,Física,GLEW,BUENOS AIRES,No identificado,1986,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,2017-07-26,4007,CORDOBA Nº 03,Córdoba,Nacional,2017,12,SEDAN 4 PUERTAS,08,CHEVROLET,EE,CRUZE 4P 1.4 TURBO LTZ + AT,1,Privado,Física,CORDOBA,CORDOBA,Femenino,1976,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-02-03,2010-06-25,1238,TIGRE Nº 4,Buenos Aires,Nacional,2010,17,SEDAN 5 PTAS,34,PEUGEOT,JK,207 COMPACT XS 1.4 5P,1,Privado,Física,DIQUE LUJAN,BUENOS AIRES,Masculino,1998,ARGENTINA,100,06,200
