tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2007-10-19,1270,TIGRE Nº 5,Buenos Aires,Protocolo 21,2007,22,SEDAN 3 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,BENAVIDEZ,BUENOS AIRES,No identificado,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2000-05-09,1271,JOSE C. PAZ Nº 2,Buenos Aires,Nacional,2000,41,FAMILIAR,37,RENAULT,ED,KANGOO RN DIE DA AA PACK ABCP,1,Privado,Física,JOSE C PAZ,BUENOS AIRES,Masculino,1967,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2013-02-04,1272,LA PLATA Nº 14,Buenos Aires,Protocolo 21,2013,05,SEDAN 5 PTAS,027,CITROEN,280,NUEVO C3 1.5I 90 ORIGINE PACK ZE,1,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1978,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2016-12-26,1273,MORENO Nº 4,Buenos Aires,Nacional,2016,17,SEDAN 5 PUERTAS,17,FIAT,AY,PALIO (326) ATTRACTIVE 5P 1.4 8V,1,Privado,Física,FRANCISCO ALVAREZ,BUENOS AIRES,Masculino,1989,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,1995-04-25,1275,ENSENADA,Buenos Aires,Nacional,1995,12,SEDAN 4 PTAS,34,PEUGEOT,03,504XSTCADA,1,Privado,Física,EL DIQUE- ENSENADA,BUENOS AIRES,No identificado,1973,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2011-08-12,1277,VILLA GESELL,Buenos Aires,Protocolo 21,2011,02,SEDAN 4 PTAS,136,VOLKSWAGEN,426,VOYAGE 1.6,1,Privado,Física,VILLA GESELL,BUENOS AIRES,No identificado,1995,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,1999-12-30,1277,VILLA GESELL,Buenos Aires,Importado,1999,04,RURAL 5 PTAS,126,SUBARU,022,LEGACY 2.0 GL 4WD,1,Privado,Física,VILLA GESELL,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2008-03-31,1280,ESCOBAR Nº 3 (EX. INGENIERO MASCHWITZ),Buenos Aires,Protocolo 21,2008,22,SEDAN 3 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,MASCHWITZ,BUENOS AIRES,No identificado,1969,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,1996-01-09,1286,LA PLATA Nº 15,Buenos Aires,Importado,1996,,SEDAN 5 PUERTAS,047,FORD,,FIESTA CL 5 PTAS.,1,Privado,Física,CITY BELL,BUENOS AIRES,Femenino,1952,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,1999-05-21,1289,QUILMES Nº 9,Buenos Aires,Nacional,1999,12,SEDAN 4 PUERTAS,53,VOLKSWAGEN,18,POLO CLASSIC 1.6 MI 992,1,Privado,Física,EZPELETA,BUENOS AIRES,No identificado,1963,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2010-03-05,1290,LA MATANZA Nº 13,Buenos Aires,Protocolo 21,2010,05,SEDAN 5 PTAS,024,CHEVROLET,361,MERIVA GL 1.8,1,Privado,Física,SAN JUSTO,BUENOS AIRES,Masculino,1998,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2012-11-06,1290,LA MATANZA Nº 13,Buenos Aires,Protocolo 21,2012,05,SEDAN 5 PTAS,027,CITROEN,246,C3 PICASSO 1.6I 16V SX,1,Privado,Física,VILLA LUZURIAGA,BUENOS AIRES,Femenino,1976,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,1997-02-12,1293,PILAR Nº 4,Buenos Aires,Nacional,1997,18,SEDAN 3 PTAS,53,VOLKSWAGEN,11,GOL GLD,1,Privado,Física,VILLA ROSA,BUENOS AIRES,Masculino,1986,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2011-09-30,1293,PILAR Nº 4,Buenos Aires,Protocolo 21,2011,11,PICK UP,047,FORD,697,F-100 4X4 XLT 3.9D CAB.DOB.,1,Privado,Física,DEL VISO,BUENOS AIRES,Masculino,1960,ARGENTINA,100,06,200
COMUNICACIÓN DE RECUPERO,2024-04-03,1996-05-22,1295,EZEIZA Nº 2,Buenos Aires,Importado,1996,05,SEDAN 5 PTAS,999,PEUGEOT,999,205 GLD,1,Privado,Física,TRISTAN SUAREZ,BUENOS AIRES,Masculino,1996,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2004-05-20,1299,MAR DEL PLATA Nº 13,Buenos Aires,Protocolo 21,2004,02,SEDAN 4 PTAS,044,FIAT,588,SIENA EX FIRE 1.3 MPI 16V,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-04-03,2011-04-07,1305,HURLINGHAM Nº 3,Buenos Aires,Protocolo 21,2011,02,SEDAN 4 PTAS,112,RENAULT,771,LOGAN PH2 PACK PLUS 1.6 8V,1,Privado,Física,VILLA TESEI,BUENOS AIRES,Masculino,1993,ARGENTINA,100,06,200
