tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2011-09-21,1255,LOMAS DE ZAMORA Nº 8,Buenos Aires,Protocolo 21,2011,02,SEDAN 4 PTAS,136,VOLKSWAGEN,426,VOYAGE 1.6,1,Privado,Física,TEMPERLEY,BUENOS AIRES,Masculino,1997,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2013-01-16,1257,MORENO Nº 3,Buenos Aires,Nacional,2013,17,SEDAN 5 PUERTAS,34,PEUGEOT,KH,PARTNER PATAGONICA 1.4,1,Privado,Física,MORENO,BUENOS AIRES,Femenino,1969,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2012-04-20,1258,AVELLANEDA Nº 7,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,08,CHEVROLET,CR,AGILE 5P 1.4 LS,1,Privado,Física,WILDE,BUENOS AIRES,No identificado,1995,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2001-05-14,1259,SAN MARTIN Nº 8,Buenos Aires,Nacional,2001,17,SEDAN 5 PUERTAS,53,VOLKSWAGEN,BY,GOL 1.9 SD 5P,1,Privado,Física,GENERAL SAN MARTIN,BUENOS AIRES,No identificado,2005,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2009-10-27,1260,FLORENCIO VARELA Nº 3,Buenos Aires,Protocolo 21,2009,04,RURAL 5 PTAS,G89,CHERY,001,TIGGO 2.0 COMFORT,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,No identificado,1966,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2008-11-14,1260,FLORENCIO VARELA Nº 3,Buenos Aires,Nacional,2007,17,SEDAN 5 PTAS,34,PEUGEOT,FS,206 X-LINE 1.4 5P,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Femenino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2011-09-29,1261,MARCOS PAZ,Buenos Aires,Protocolo 21,2011,04,RURAL 5 PTAS,047,FORD,596,ECOSPORT 1.6 L 4X2 XLS,1,Privado,Física,MARCOS PAZ,BUENOS AIRES,Masculino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2015-05-27,1265,PILAR Nº 3,Buenos Aires,Nacional,2015,12,SEDAN 4 PUERTAS,17,FIAT,AZ,SIENA (F4) EL 1.4 8V,1,Privado,Física,VILLA ROSA,BUENOS AIRES,No identificado,1982,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2005-07-05,1266,MALVINAS ARGENTINAS Nº 3,Buenos Aires,Protocolo 21,2005,05,SEDAN 5 PTAS,055,HONDA,A19,FIT LX,1,Privado,Física,PABLO NOGUES,BUENOS AIRES,Femenino,1979,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-11-01,2023-08-04,1269,LA MATANZA Nº 12,Buenos Aires,Nacional,2023,12,SEDAN 4 PUERTAS,17,FIAT,CR,CRONOS DRIVE 1.3 GSE CVT BZ,1,Privado,Física,RAMOS MEJÍA,BUENOS AIRES,Masculino,2001,ARGENTINA,100,06,200
