tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,1998-11-06,1106,LA MATANZA Nº 02,Buenos Aires,Importado,1998,22,SEDAN 3 PTAS,112,RENAULT,004,TWINGO,1,Privado,Física,GONZALEZ CATAN,BUENOS AIRES,Masculino,2003,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,2017-08-24,2080,CAPITAL FEDERAL Nº 080,Ciudad Autónoma de Buenos Aires,Nacional,2017,17,SEDAN 5 PUERTAS,37,RENAULT,2U,NUEVO SANDERO STEPWAY PRIVILEGE,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1946,ARGENTINA,100,02,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,2013-06-13,1107,LANUS Nº 2,Buenos Aires,Importado,2013,05,SEDAN 5 PUERTAS,044,FIAT,797,BRAVO DYNAMIC 1.6 16V MULTIJET,1,Privado,Física,LANUS,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,2006-03-27,1113,SAN VICENTE,Buenos Aires,Protocolo 21,2006,05,SEDAN 5 PTAS,136,VOLKSWAGEN,348,FOX 1.6,1,Privado,Física,GUERNICA,BUENOS AIRES,No identificado,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,1994-06-17,1117,TRES DE FEBRERO Nº 2,Buenos Aires,Protocolo 21,1994,05,SEDAN 5 PUERTAS,112,RENAULT,001,CLIO RT,1,Privado,Física,CASEROS,BUENOS AIRES,Masculino,2000,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,2002-06-21,1118,QUILMES Nº 2,Buenos Aires,Nacional,2002,12,SEDAN 4 PUERTAS,37,RENAULT,GU,CLIO RN 1.2 4 PTAS,1,Privado,Física,BERNAL,BUENOS AIRES,Masculino,1995,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,2013-01-03,1119,MORON Nº 03,Buenos Aires,Protocolo 21,2013,05,SEDAN 5 PTAS,136,VOLKSWAGEN,348,FOX 1.6,1,Privado,Física,HAEDO-MORON,BUENOS AIRES,No identificado,1976,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,2016-03-09,1119,MORON Nº 03,Buenos Aires,Protocolo 21,2016,05,SEDAN 5 PUERTAS,130,TOYOTA,858,ETIOS XLS 1.5 M/T,1,Privado,Física,MORON,BUENOS AIRES,Femenino,1964,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,2021-11-17,1120,LA MATANZA Nº 03,Buenos Aires,Nacional,2021,17,SEDAN 5 PUERTAS,34,PEUGEOT,PX,208 ALLURE 1.6L,1,Privado,Física,VILLA MADERO,BUENOS AIRES,No identificado,1990,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-10-01,2015-08-25,1120,LA MATANZA Nº 03,Buenos Aires,Nacional,2015,17,SEDAN 5 PUERTAS,34,PEUGEOT,MA,207 COMPACT ALLURE 1.4 N 5P,1,Privado,Física,LA TABLADA - LOMAS DEL MIRADOR,BUENOS AIRES,No identificado,1985,ARGENTINA,100,06,200
