tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,2010-02-04,21073,VILLA GOBERNADOR GÁLVEZ,Santa Fe,Importado,2010,02,SEDAN 4 PUERTAS,024,CHEVROLET,483,AVEO LT 1.6N MT,1,Privado,Física,VILLA GDOR GALVEZ,SANTA FE,Masculino,1989,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,2011-02-24,21075,SAN LORENZO Nº 4,Santa Fe,Nacional,2011,12,SEDAN 4 PTAS,17,FIAT,AU,SIENA EL 1.4 BENZINA,1,Privado,Física,SAN LORENZO,SANTA FE,Masculino,1979,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,2021-02-03,23011,TUCUMAN Nº 9,Tucumán,Nacional,2021,20,PICK-UP,19,FORD,ZJ,RANGER DC 4X2 XLT MT 3.2L D,1,Privado,Física,SIMOCA,TUCUMAN,Femenino,1967,PERU,100,90,222
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,2010-10-13,1001,ADROGUE Nº 1,Buenos Aires,Nacional,2010,17,SEDAN 5 PTAS,34,PEUGEOT,JW,206 GENERATION,1,Privado,Física,JOSE MARMOL,BUENOS AIRES,Femenino,1999,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,2012-07-23,1001,ADROGUE Nº 1,Buenos Aires,Nacional,2012,20,PICK-UP,53,VOLKSWAGEN,TA,AMAROK 2.0L TDI 180 CV 291,1,Privado,Física,ADROGUE,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,2004-11-25,1001,ADROGUE Nº 1,Buenos Aires,Protocolo 21,2004,05,SEDAN 5 PUERTAS,112,RENAULT,518,CLIO AUTHENTIQUE 1.2 16V,1,Privado,Física,SAN JOSE,BUENOS AIRES,No identificado,1996,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,1995-06-01,1004,AVELLANEDA Nº 1,Buenos Aires,Nacional,1995,,BREAK 4 PUERTAS,37,RENAULT,AK,R21 RN BREAK M2100 DIESEL,1,Privado,Física,WILDE,BUENOS AIRES,No identificado,1964,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,2007-09-21,1010,BALCARCE,Buenos Aires,Nacional,2007,12,SEDAN 4 PUERTAS,08,CHEVROLET,BD,CORSA CLASSIC 4P SUPER 1.6N,1,Privado,Física,BALCARCE,BUENOS AIRES,Masculino,1986,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,2004-10-06,1029,ESTEBAN ECHEVERRIA Nº 1,Buenos Aires,Nacional,2004,12,SEDAN 4 PTAS,53,VOLKSWAGEN,JB,POLO CLASSIC 1.6L 31A,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,1956,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-07-01,1998-03-26,1030,FLORENCIO VARELA Nº 1,Buenos Aires,Importado,1998,30,FURGONETA,112,RENAULT,122,EXPRESS,1,Privado,Física,VILLA VATTEONE,BUENOS AIRES,Masculino,1953,ARGENTINA,50,06,200
