tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2006-06-23,1053,LOMAS DE ZAMORA Nº 1,Buenos Aires,Nacional,2006,17,SEDAN 5 PUERTAS,34,PEUGEOT,FD,307 XS 1.6 5P 110CV,1,Privado,Física,INGENIERO BUDGE,BUENOS AIRES,No identificado,1959,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2005-11-09,1059,MAR DEL PLATA Nº 02,Buenos Aires,Protocolo 21,2005,11,PICK UP,024,CHEVROLET,346,S10 2.8STD T.INTERC4X4(CAB.DOB),1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1969,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2022-01-07,1062,MERLO Nº 1,Buenos Aires,Nacional,2022,17,SEDAN 5 PUERTAS,34,PEUGEOT,RJ,308 FELINE 1.6 HDI AM22,1,Privado,Física,MERLO,BUENOS AIRES,No identificado,1994,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,1998-06-25,1062,MERLO Nº 1,Buenos Aires,Nacional,1998,12,SEDAN 4 PTAS,17,FIAT,29,SIENA HL 4P.,1,Privado,Física,LIBERTAD,BUENOS AIRES,Masculino,1997,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2015-10-05,1065,MORON Nº 02,Buenos Aires,Protocolo 21,2015,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,539,FOX 1.6 MSI 16V HIGHLINE,1,Privado,Física,MORON,BUENOS AIRES,Masculino,1993,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2009-05-13,1065,MORON Nº 02,Buenos Aires,Nacional,2009,17,SEDAN 5 PTAS,34,PEUGEOT,JW,206 GENERATION,1,Privado,Física,MORON,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2017-07-11,1078,LA MATANZA Nº 01,Buenos Aires,Nacional,2017,20,PICK-UP,68,TOYOTA,92,HILUX 4X4 D/C SRX 2.8 TDI 6 A/T,1,Privado,Física,SAN JUSTO,BUENOS AIRES,No identificado,1994,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2019-09-09,1078,LA MATANZA Nº 01,Buenos Aires,Protocolo 21,2019,05,SEDAN 5 PUERTAS,104,PEUGEOT,865,2008 FELINE 1.6 115,1,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Masculino,1972,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,1996-10-04,1088,SAN MARTIN Nº 1,Buenos Aires,Importado,1996,05,SEDAN 5 PUERTAS,112,RENAULT,116,LAGUNA RXE 2.0 S,1,Privado,Física,GRAL.SAN MARTIN,BUENOS AIRES,Masculino,1964,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2011-01-07,1090,SAN MIGUEL Nº 1,Buenos Aires,Nacional,2011,22,FURGON,37,RENAULT,UT,KANGOO GRAND CONFORT 1.5 DCI 2P,1,Privado,Física,SAN_MIGUEL,BUENOS AIRES,Masculino,1996,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2019-03-19,1100,TRES DE FEBRERO Nº 1,Buenos Aires,Protocolo 21,2019,05,SEDAN 5 PUERTAS,024,CHEVROLET,703,ONIX 5P 1.4 N ACTIV,1,Privado,Física,CASEROS,BUENOS AIRES,Femenino,1999,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2012-06-21,1107,LANUS Nº 2,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,34,PEUGEOT,JK,207 COMPACT XS 1.4 5P,1,Privado,Física,LANUS OESTE,BUENOS AIRES,Masculino,2000,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2005-03-23,1110,SAN ANDRES DE GILES,Buenos Aires,Nacional,2005,12,SEDAN 4 PTAS,08,CHEVROLET,BJ,CORSA II 4 P CD GAS 1.8,1,Privado,Física,SAN ANDRÉS DE GILES,BUENOS AIRES,Masculino,1972,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2014-07-07,1111,SAN ISIDRO Nº 02,Buenos Aires,Nacional,2014,22,FURGON,07,CITROEN,BT,BERLINGO FURGON 1.4I BUSINESS AM54,1,Privado,Física,SAN ISIDRO,BUENOS AIRES,Masculino,1990,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2008-07-04,1113,SAN VICENTE,Buenos Aires,Importado,2008,82,PICK-UP CABINA DOBLE,158,DODGE,109,RAM 2500 SLT 4X4 TD HEAVY DUTY,1,Privado,Física,SAN VICENTE,BUENOS AIRES,Femenino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2012-03-02,1113,SAN VICENTE,Buenos Aires,Nacional,2012,18,SEDAN 3 PTAS,34,PEUGEOT,JG,207 COMPACT XT PREMIUM 1.6 3P,1,Privado,Física,SAN VICENTE CAMPO LA VISCACHA,BUENOS AIRES,No identificado,1985,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2007-10-29,1120,LA MATANZA Nº 03,Buenos Aires,Nacional,2007,17,SEDAN 5 PTAS,34,PEUGEOT,FE,307 XT PREMIUM 2.0 5P 143CV,1,Privado,Física,VILLA MADERO,BUENOS AIRES,No identificado,1999,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2015-01-08,1120,LA MATANZA Nº 03,Buenos Aires,Nacional,2015,12,SEDAN 4 PUERTAS,08,CHEVROLET,DX,CLASSIC 4 P LS ABS+AIRBAG 1.4N,1,Privado,Física,LA MATANZA,BUENOS AIRES,Masculino,1956,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-06-03,2011-09-21,1120,LA MATANZA Nº 03,Buenos Aires,Protocolo 21,2011,05,SEDAN 5 PTAS,112,RENAULT,816,SANDERO STEPWAY PH2 CONFORT 1.6,1,Privado,Física,LOMAS DEL MIRADOR,BUENOS AIRES,Masculino,1978,ARGENTINA,100,06,200
