tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2012-02-29,1001,ADROGUE Nº 1,Buenos Aires,Importado,2012,02,SEDAN 4 PTAS,136,VOLKSWAGEN,335,BORA 1.8T,1,Privado,Física,SAN JOSÉ,BUENOS AIRES,Masculino,1985,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2016-05-04,1020,CORONEL DORREGO,Buenos Aires,Nacional,2016,20,PICK-UP,68,TOYOTA,97,HILUX 4X4 D/C DX 2.4 TDI 6 M/T,1,Privado,Física,CORONEL DORREGO,BUENOS AIRES,Masculino,1966,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2010-05-31,1030,FLORENCIO VARELA Nº 1,Buenos Aires,Nacional,2010,18,SEDAN 3 PUERTAS,34,PEUGEOT,JF,207 COMPACT XR 1.4 3P,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,No identificado,2002,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2018-06-25,1044,LA PLATA Nº 02,Buenos Aires,Nacional,2018,17,SEDAN 5 PUERTAS,34,PEUGEOT,MT,308 ROLAND GARROS HDI,1,Privado,Jurídica,ABASTO,BUENOS AIRES,No aplica,2006,No aplica,100,06,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2011-03-03,1047,LANUS Nº 1,Buenos Aires,Importado,2011,02,SEDAN 4 PTAS,024,CHEVROLET,483,AVEO LT 1.6N MT,1,Privado,Física,LANUS,BUENOS AIRES,Masculino,1969,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1996-05-17,1055,LUJAN Nº 1,Buenos Aires,Importado,1996,,SIN ESPECIFICACION,,CHEVROLET,,CORSA GL 1.6 MPFI,1,Privado,Física,LUJAN BS.AS.,BUENOS AIRES,No identificado,1940,No identificado,100,06,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1999-01-14,1058,MAR DEL PLATA Nº 01,Buenos Aires,Importado,1999,05,SEDAN 5 PTAS,104,PEUGEOT,218,205 GLD,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Femenino,1952,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2011-01-28,1062,MERLO Nº 1,Buenos Aires,Importado,2011,05,SEDAN 5 PTAS,047,FORD,908,FIESTA KINETIC DESIGN TITANIUM,1,Privado,Física,MERLO,BUENOS AIRES,Masculino,1985,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2008-10-27,1065,MORON Nº 02,Buenos Aires,Importado,2008,21,COUPE,011,AUDI,143,A5 3.2 QUATTRO,1,Privado,Física,MORON,BUENOS AIRES,Masculino,1994,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2022-08-18,1073,PIGUE,Buenos Aires,Nacional,2022,20,PICK-UP,68,TOYOTA,CA,HILUX 4X2 DC SRX 2.8 TDI 6 AT,1,Privado,Física,PIGÜÉ,BUENOS AIRES,Masculino,1987,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1999-12-16,1077,QUILMES Nº 1,Buenos Aires,Nacional,1999,18,SEDAN 3 PTAS,17,FIAT,72,PALIO S 1.3 MPI (3P),1,Privado,Física,BERNAL,BUENOS AIRES,No identificado,1964,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2011-08-01,1077,QUILMES Nº 1,Buenos Aires,Nacional,2011,17,SEDAN 5 PTAS,07,CITROEN,71,C4 5P 1.6I 16V X PACK LOOK,1,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2009-03-27,1090,SAN MIGUEL Nº 1,Buenos Aires,Protocolo 21,2009,05,SEDAN 5 PTAS,055,HONDA,A95,FIT EX,1,Privado,Física,SAN MIGUEL,BUENOS AIRES,No identificado,1986,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2007-10-22,1091,MONTE,Buenos Aires,Protocolo 21,2007,02,SEDAN 4 PUERTAS,055,HONDA,B31,CIVIC EXS,1,Privado,Física,SAN MIGUEL DEL MONTE,BUENOS AIRES,No identificado,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2018-03-28,1100,TRES DE FEBRERO Nº 1,Buenos Aires,Protocolo 21,2018,05,SEDAN 5 PUERTAS,024,CHEVROLET,616,ONIX 1.4 N LT,1,Privado,Física,CASEROS,BUENOS AIRES,Masculino,1993,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2011-01-14,1107,LANUS Nº 2,Buenos Aires,Protocolo 21,2011,,furgon con asientos,044,FIAT,305,FIORINO FIRE 1242 MPI 8V,1,Privado,Física,GONZALEZ CATAN,BUENOS AIRES,Masculino,1980,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2012-09-28,1113,SAN VICENTE,Buenos Aires,Protocolo 21,2012,02,SEDAN 4 PTAS,112,RENAULT,867,LOGAN 1.6 8V PACK I,1,Privado,Física,A.KORN,BUENOS AIRES,Masculino,1977,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1986-10-16,1119,MORON Nº 03,Buenos Aires,Nacional,,22,FURGON,53,VOLKSWAGEN,02,TIPO II FURGON,1,Privado,Física,EL PALOMAR-MORON,BUENOS AIRES,Masculino,1953,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2012-02-06,1120,LA MATANZA Nº 03,Buenos Aires,Protocolo 21,2012,30,FURGONETA,044,FIAT,591,FIORINO FIRE 1242 MPI 8V,1,Privado,Física,VIRREY DEL PINO,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2009-03-31,1120,LA MATANZA Nº 03,Buenos Aires,Nacional,2009,12,SEDAN 4 PTAS,07,CITROEN,58,C4 SEDAN2.0I 16V EXCLUSIVE BVA,1,Privado,Física,LA TABLADA,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1996-12-17,1121,MAR DEL PLATA Nº 03,Buenos Aires,Protocolo 21,1996,11,PICK UP,047,FORD,180,F-100 DIESEL,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2023-09-22,1127,LA PLATA Nº 05,Buenos Aires,Nacional,2023,17,SEDAN 5 PUERTAS,34,PEUGEOT,TH,208 ACTIVE PK AT AM24,1,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1961,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2012-03-20,1127,LA PLATA Nº 05,Buenos Aires,Nacional,2012,12,SEDAN 4 PUERTAS,34,PEUGEOT,LB,408 ALLURE HDI,1,Privado,Física,LA PLATA,BUENOS AIRES,Femenino,1953,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2014-03-17,1128,SAN MIGUEL Nº 2,Buenos Aires,Protocolo 21,2014,05,SEDAN 5 PUERTAS,024,CHEVROLET,606,SPIN 1.8 N 7P LTZ A/T,1,Privado,Física,SIN INFORMAR,BUENOS AIRES,No identificado,1983,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2001-09-21,1128,SAN MIGUEL Nº 2,Buenos Aires,Importado,2001,02,SEDAN 4 PUERTAS,121,SEAT,187,TOLEDO 1.9TDI,1,Privado,Física,MUÑIZ,BUENOS AIRES,Masculino,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2023-01-09,1128,SAN MIGUEL Nº 2,Buenos Aires,Nacional,2023,20,PICK-UP,68,TOYOTA,BK,HILUX 4X4 DC SRX 2.8 TDI 6 MT,1,Privado,Física,SAN MIGUEL,BUENOS AIRES,Masculino,1972,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2000-07-26,1133,SAN MIGUEL Nº 3,Buenos Aires,Nacional,2000,20,PICK-UP,19,FORD,KG,RANGER XL C/C 4X2 D,1,Privado,Física,BELLA VISTA,BUENOS AIRES,Masculino,1948,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2018-02-16,1134,LANUS Nº 3,Buenos Aires,Protocolo 21,2018,02,SEDAN 4 PUERTAS,024,CHEVROLET,614,PRISMA 1.4 N LT,1,Privado,Física,MONTE CHINGOLO,BUENOS AIRES,Masculino,1992,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2016-10-13,1135,LANUS Nº 4,Buenos Aires,Protocolo 21,2016,02,SEDAN 4 PUERTAS,130,TOYOTA,871,COROLLA XEI PACK 1.8 CVT,1,Privado,Física,LANUS,BUENOS AIRES,No identificado,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1980-02-29,1135,LANUS Nº 4,Buenos Aires,Nacional,1980,20,PICK-UP,19,FORD,11,F100,1,Privado,Física,LANUS OESTE,BUENOS AIRES,No identificado,1979,BOLIVIA,100,06,202
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2006-11-22,1135,LANUS Nº 4,Buenos Aires,Protocolo 21,2006,02,SEDAN 4 PTAS,044,FIAT,646,SIENA ELX 1.4 8V,1,Privado,Física,MTE. CHINGOLO,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2000-03-21,1135,LANUS Nº 4,Buenos Aires,Importado,2000,05,SEDAN 5 PUERTAS,104,PEUGEOT,007,106 XN,1,Privado,Física,LANÚS ESTE,BUENOS AIRES,No identificado,1989,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2000-02-10,1136,ADROGUE Nº 2,Buenos Aires,Nacional,2000,13,RURAL 3 PUERTAS,07,CITROEN,06,BERLINGO DPL,1,Privado,Física,BURZACO,BUENOS AIRES,No identificado,2003,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2012-01-20,1145,QUILMES Nº 4,Buenos Aires,Importado,2012,05,SEDAN 5 PTAS,024,CHEVROLET,532,CRUZE 1.8 LTZ,1,Privado,Física,QUILMES,BUENOS AIRES,Femenino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2010-10-26,1146,MERLO Nº 2,Buenos Aires,Protocolo 21,2010,05,SEDAN 5 PTAS,112,RENAULT,676,SANDERO 1.6 8V PACK,1,Privado,Física,MERLO,BUENOS AIRES,No identificado,1982,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2011-11-23,1147,LOMAS DE ZAMORA Nº 3,Buenos Aires,Protocolo 21,2011,04,RURAL 5 PTAS,047,FORD,821,ECOSPORT 2.0L XLS 4X2,1,Privado,Física,BANFIELD,BUENOS AIRES,Masculino,1978,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2014-09-18,1147,LOMAS DE ZAMORA Nº 3,Buenos Aires,Importado,2014,12,FAMILIAR,044,FIAT,790,DOBLO 1.4 16V ACTIVE,1,Privado,Física,BANFIELD,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2007-08-28,1151,AVELLANEDA Nº 4,Buenos Aires,Protocolo 21,2007,05,SEDAN 5 PUERTAS,024,CHEVROLET,361,MERIVA GL 1.8,1,Privado,Física,AVELLANEDA,BUENOS AIRES,No identificado,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2018-01-26,1152,LA MATANZA Nº 04,Buenos Aires,Protocolo 21,2018,05,SEDAN 5 PUERTAS,112,RENAULT,A83,KWID ZEN 1.0,1,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Femenino,1984,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1996-03-29,1152,LA MATANZA Nº 04,Buenos Aires,Importado,1996,,SEDAN 3 PTAS,,VOLKSWAGEN,,GOL GLI,1,Privado,Física,CIUDAD EVITA,BUENOS AIRES,No identificado,1950,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2012-09-25,1153,LA MATANZA Nº 05,Buenos Aires,Nacional,2012,12,SEDAN 4 PTAS,34,PEUGEOT,LA,408 FELINE 2.0N,1,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Masculino,1972,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2020-09-28,1153,LA MATANZA Nº 05,Buenos Aires,Protocolo 21,2020,05,SEDAN 5 PUERTAS,130,TOYOTA,A76,YARIS XLS 1.5 CVT,1,Privado,Física,CIUDAD EVITA,BUENOS AIRES,Masculino,1968,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2022-11-22,1157,MORON Nº 05,Buenos Aires,Protocolo 21,2022,04,RURAL 5 PUERTAS,151,JEEP,138,RENEGADE SPORT 1.8L MT5 FWD,1,Privado,Física,HAEDO,BUENOS AIRES,Masculino,1956,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2002-01-18,1162,OLAVARRIA Nº 2,Buenos Aires,Protocolo 21,2002,05,SEDAN 5 PTAS,044,FIAT,487,UNO S 1.3,1,Privado,Física,SIERRA CHICA,BUENOS AIRES,Masculino,1976,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2000-01-03,1171,ESCOBAR Nº 1,Buenos Aires,Nacional,2000,18,SEDAN 3 PTAS,53,VOLKSWAGEN,46,GOL 1.9 SD 011,1,Privado,Física,ESCOBAR,BUENOS AIRES,No identificado,1997,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2006-01-12,1174,LA MATANZA Nº 07,Buenos Aires,Nacional,2006,20,PICK-UP,19,FORD,SC,RANGER DC 4X2 XLS 2.8L D,1,Privado,Física,RAFAEL CASTILLO,BUENOS AIRES,Masculino,1983,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2016-11-14,1178,LA MATANZA Nº 08,Buenos Aires,Protocolo 21,2016,05,SEDAN 5 PUERTAS,024,CHEVROLET,617,ONIX 1.4 N LTZ,1,Privado,Física,VILLA MADERO,BUENOS AIRES,Femenino,1987,ARGENTINA,100,06,200
COMUNICACIÓN DE RECUPERO,2024-03-01,2022-10-26,1185,ADROGUE Nº 3,Buenos Aires,Protocolo 21,2022,05,SEDAN 5 PUERTAS,102,NISSAN,796,KICKS 1.6 ADVANCE MT,1,Privado,Física,MALVINAS ARGENTINAS,BUENOS AIRES,Femenino,1972,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2018-06-14,1185,ADROGUE Nº 3,Buenos Aires,Protocolo 21,2018,02,SEDAN 4 PUERTAS,130,TOYOTA,873,COROLLA XEI 1.8 CVT,1,Privado,Física,ADROGUE,BUENOS AIRES,Femenino,1972,ARGENTINA,100,06,200
COMUNICACIÓN DE RECUPERO,2024-03-01,2012-01-06,1188,LA PLATA Nº 07,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,53,VOLKSWAGEN,PE,SURAN 1.6L 5D 21B,1,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,1946,No aplica,100,06,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1995-03-29,1189,FLORENCIO VARELA Nº 2,Buenos Aires,Nacional,1995,12,SEDAN 4 PTAS,37,RENAULT,AB,RENAULT 9 RL,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,No identificado,1993,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2019-01-04,1194,AVELLANEDA Nº 5,Buenos Aires,Nacional,2019,17,SEDAN 5 PUERTAS,37,RENAULT,2R,NUEVO SANDERO PRIVILEGE,1,Privado,Física,PIÑEIRO,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2007-01-12,1196,LA PLATA Nº 08,Buenos Aires,Nacional,2007,12,SEDAN 4 PTAS,34,PEUGEOT,ES,PARTNER PATAGONICA 1.9 D,1,Privado,Física,MELCHOR ROMERO,BUENOS AIRES,Femenino,1963,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2015-02-05,1199,LANUS Nº 6,Buenos Aires,Protocolo 21,2015,05,SEDAN 5 PUERTAS,024,CHEVROLET,616,ONIX 1.4 N LT,1,Privado,Física,LANUS OESTE,BUENOS AIRES,No identificado,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1998-04-28,1202,MAR DEL PLATA Nº 09,Buenos Aires,Nacional,1998,18,SEDAN 3 PTAS,17,FIAT,20,PALIO EL 3.P,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1976,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,1995-04-20,1204,MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5),Buenos Aires,Nacional,1995,11,SEDAN 2 PTAS,17,FIAT,72,UNO CL-3P,1,Privado,Física,VILLA DE MAYO,BUENOS AIRES,Masculino,1951,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2008-01-10,1208,MERCEDES Nº 2,Buenos Aires,Protocolo 21,2008,22,SEDAN 3 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,SUIPACHA,BUENOS AIRES,Masculino,1971,PERU,100,06,222
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2000-06-16,1210,ESTEBAN ECHEVERRIA Nº 3,Buenos Aires,Protocolo 21,2000,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,245,GOLF TDI,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,1978,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2011-01-26,1210,ESTEBAN ECHEVERRIA Nº 3,Buenos Aires,Nacional,2011,20,PICK-UP,53,VOLKSWAGEN,MZ,AMAROK 2.0L TDI 4X2,1,Privado,Física,NUEVE DE ABRIL,BUENOS AIRES,No identificado,1986,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2006-02-28,1210,ESTEBAN ECHEVERRIA Nº 3,Buenos Aires,Protocolo 21,2006,05,SEDAN 5 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,NUEVE DE ABRIL,BUENOS AIRES,No identificado,1987,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2010-10-28,1216,QUILMES Nº 7,Buenos Aires,Nacional,2010,12,SEDAN 4 PTAS,07,CITROEN,55,C4 SEDAN 2.0I 16V SX,1,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2018-02-05,1218,MORON Nº 04 (EX. MORON Nº 9),Buenos Aires,Protocolo 21,2018,05,SEDAN 5 PUERTAS,104,PEUGEOT,778,208 ALLURE 1.6,1,Privado,Física,CASTELAR,BUENOS AIRES,Femenino,1984,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2007-01-12,1220,AVELLANEDA Nº 6,Buenos Aires,Importado,2007,02,SEDAN 4 PTAS,018,BMW,247,330 I,1,Privado,Física,WILDE,BUENOS AIRES,No identificado,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2020-09-28,1220,AVELLANEDA Nº 6,Buenos Aires,Protocolo 21,2020,10,TODO TERRENO,024,CHEVROLET,751,TRAILBLAZER 2.8 4X4 PREMIER AT,1,Privado,Física,WILDE,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-03-01,2008-07-28,1221,PILAR Nº 2,Buenos Aires,Nacional,2008,40,TODO TERRENO,68,TOYOTA,32,HILUX SW4 4X4 SRV 3.0 TDI,1,Privado,Física,PILAR,BUENOS AIRES,Masculino,1976,ARGENTINA,100,06,200
