tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,1994-02-04,1004,AVELLANEDA Nº 1,Buenos Aires,Nacional,1994,11,SEDAN 2 PTAS,17,FIAT,62,UNO SCR-3P,1,Privado,Física,WILDE,BUENOS AIRES,No identificado,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,2012-07-04,1029,ESTEBAN ECHEVERRIA Nº 1,Buenos Aires,Protocolo 21,2012,05,SEDAN 5 PTAS,024,CHEVROLET,405,MERIVA GL PLUS 1.8 SOHC,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,1997-08-26,1029,ESTEBAN ECHEVERRIA Nº 1,Buenos Aires,Protocolo 21,1997,05,SEDAN 5 PTAS,024,CHEVROLET,103,CORSA GL 1.6 MPFI,1,Privado,Física,9 DE ABRIL,BUENOS AIRES,Femenino,1993,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,2007-04-11,1030,FLORENCIO VARELA Nº 1,Buenos Aires,Protocolo 21,2007,30,FURGONETA,044,FIAT,591,FIORINO FIRE 1242 MPI 8V,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,No identificado,1984,ARGENTINA,100,06,200
COMUNICACIÓN DE RECUPERO,2024-09-02,2022-06-28,1043,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2022,05,SEDAN 5 PUERTAS,130,TOYOTA,B29,ETIOS XLS PACK 1.5 4A/T,1,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2000,No aplica,100,06,
COMUNICACIÓN DE RECUPERO,2024-09-02,2017-01-05,1043,LA PLATA Nº 01,Buenos Aires,Nacional,2017,17,SEDAN 5 PUERTAS,19,FORD,XD,FOCUS 5P 2.0L N MT TITANIUM,1,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2023,No aplica,100,06,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,2010-08-26,1047,LANUS Nº 1,Buenos Aires,Importado,2010,02,SEDAN 4 PTAS,102,NISSAN,485,TIIDA 1.8 6MT TEKNA,1,Privado,Física,LANÚS OESTE,BUENOS AIRES,No identificado,1985,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,2023-01-20,1047,LANUS Nº 1,Buenos Aires,Nacional,2023,20,PICK-UP,53,VOLKSWAGEN,8M,AMAROK COMFORTLINE 4X2 AUT 2.0L TDI 180 CV,1,Privado,Física,LANÚS OESTE,BUENOS AIRES,Masculino,1995,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,2011-03-28,1053,LOMAS DE ZAMORA Nº 1,Buenos Aires,Protocolo 21,2011,02,SEDAN 4 PTAS,112,RENAULT,771,LOGAN PH2 PACK PLUS 1.6 8V,1,Privado,Física,LOMAS DE ZAMORA,BUENOS AIRES,Femenino,1985,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,2018-09-27,1061,MERCEDES Nº 1,Buenos Aires,Protocolo 21,2018,30,FURGONETA,044,FIAT,810,NUEVO FIORINO 1.4 8V,1,Privado,Física,MERCEDES,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,2003-01-08,1062,MERLO Nº 1,Buenos Aires,Nacional,2003,12,SEDAN 4 PTAS,34,PEUGEOT,67,PARTNER URBANA D AA,1,Privado,Física,MERLO,BUENOS AIRES,Masculino,1979,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-09-02,2015-03-16,1062,MERLO Nº 1,Buenos Aires,Protocolo 21,2015,04,RURAL 5 PUERTAS,112,RENAULT,930,DUSTER CONFORT PLUS 1.6 4X2 ABS,1,Privado,Física,LIBERTAD,BUENOS AIRES,Masculino,1967,PARAGUAY,100,06,221
