tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2013-01-23,21065,VILLA CONSTITUCION Nº 2,Santa Fe,Nacional,2013,12,SEDAN 4 PUERTAS,34,PEUGEOT,LE,408 SPORT 163 CV,1,Privado,Física,VILLA CONSTITUCION,SANTA FE,Masculino,1977,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2010-04-21,21068,ROSARIO Nº 17,Santa Fe,Nacional,2010,12,SEDAN 4 PTAS,08,CHEVROLET,CK,CORSA CLASSIC 4 PTAS GLS 1.4N,1,Privado,Física,ROSARIO,SANTA FE,No identificado,1992,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2017-03-17,21068,ROSARIO Nº 17,Santa Fe,Nacional,2017,20,PICK-UP,68,TOYOTA,92,HILUX 4X4 D/C SRX 2.8 TDI 6 A/T,1,Privado,Física,ROSARIO,SANTA FE,Masculino,1976,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,1996-09-20,21070,ROSARIO Nº 18,Santa Fe,Nacional,1996,18,SEDAN 3 PTAS,19,FORD,47,ESCORT GL 1.8,1,Privado,Física,PÉREZ,SANTA FE,Masculino,1986,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2006-09-12,21071,SANTO TOME,Santa Fe,Protocolo 21,2006,22,SEDAN 3 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,SANTO TOME,SANTA FE,Femenino,1961,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2005-10-25,21073,VILLA GOBERNADOR GÁLVEZ,Santa Fe,Nacional,2005,12,SEDAN 4 PUERTAS,08,CHEVROLET,BD,CORSA CLASSIC 4P SUPER 1.6 N,1,Privado,Física,VILLA GOBERNADOR GALVEZ,SANTA FE,Masculino,1965,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,1993-02-10,1004,AVELLANEDA Nº 1,Buenos Aires,Nacional,1993,11,SEDAN 2 PTAS,17,FIAT,66,SPAZIO T,1,Privado,Física,WILDE,BUENOS AIRES,Femenino,1976,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2024-04-26,1004,AVELLANEDA Nº 1,Buenos Aires,Protocolo 21,2024,05,SEDAN 5 PUERTAS,130,TOYOTA,A16,YARIS S 1.5 CVT,1,Privado,Física,AVELLANEDA,BUENOS AIRES,Masculino,1963,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2004-11-25,1005,AVELLANEDA Nº 2,Buenos Aires,Protocolo 21,2004,13,FURGON VIDRIADO C/ ASIENTOS,112,RENAULT,534,MASTER 2.8D T35 (TECHO ELEVADO),1,Privado,Física,SARANDI,BUENOS AIRES,No identificado,1967,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2021-06-25,1029,ESTEBAN ECHEVERRIA Nº 1,Buenos Aires,Protocolo 21,2021,05,SEDAN 5 PUERTAS,130,TOYOTA,912,ETIOS XLS 1.5 6M/T,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Masculino,1960,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2012-06-06,1030,FLORENCIO VARELA Nº 1,Buenos Aires,Protocolo 21,2012,22,SEDAN 3 PTAS,136,VOLKSWAGEN,463,GOL 1.4 L,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,No identificado,1950,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,1996-08-13,5008,ESQUINA,Corrientes,Nacional,1996,31,SEMIRREMOLQUE,BQ,FRUEHAUF,51,FP ST NF3,1,Privado,Jurídica,PUEBLO LIBERTADOR,CORRIENTES,No aplica,2000,No aplica,100,18,
COMUNICACIÓN DE RECUPERO,2024-08-01,2012-11-02,1043,LA PLATA Nº 01,Buenos Aires,Protocolo 21,2012,22,SEDAN 3 PTAS,136,VOLKSWAGEN,463,GOL 1.4 L,1,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,2023,No aplica,100,06,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2013-08-28,1055,LUJAN Nº 1,Buenos Aires,Nacional,2013,20,PICK-UP,19,FORD,WU,RANGER2 DC 4X4 XLS 3.2L D,1,Privado,Física,CARLOS KEEN,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,1994-02-17,1062,MERLO Nº 1,Buenos Aires,Protocolo 21,1994,,SEDAN,,FIAT,,TEMPRA ORO EQUIPO BASE,1,Privado,Física,MERLO,BUENOS AIRES,Masculino,1991,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2007-08-22,1064,MORENO Nº 1,Buenos Aires,Protocolo 21,2007,04,RURAL 5 PTAS,136,VOLKSWAGEN,276,GOL COUNTRY 1.6,1,Privado,Física,LA REJA,BUENOS AIRES,No identificado,1952,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2011-04-08,1065,MORON Nº 02,Buenos Aires,Importado,2011,04,RURAL 5 PTAS,158,DODGE,117,JOURNEY SXT 2.4,1,Privado,Física,MORON,BUENOS AIRES,No identificado,1954,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2014-03-06,1065,MORON Nº 02,Buenos Aires,Nacional,2014,17,SEDAN 5 PUERTAS,53,VOLKSWAGEN,VE,SURAN 1.6L 5D 717,1,Privado,Física,VILLA TESEI,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2005-10-04,1075,PUAN,Buenos Aires,Protocolo 21,2005,17,CHASIS C/CABINA,092,MERCEDES BENZ,769,L1634,1,Privado,Física,EZEIZA,BUENOS AIRES,Masculino,1971,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2013-04-23,1077,QUILMES Nº 1,Buenos Aires,Nacional,2013,12,SEDAN 4 PUERTAS,17,FIAT,AZ,SIENA (F4) EL 1.4 8V,1,Privado,Física,BERNAL,BUENOS AIRES,Femenino,1969,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2021-05-18,1078,LA MATANZA Nº 01,Buenos Aires,Nacional,2021,40,TODO TERRENO,68,TOYOTA,BW,SW4 4X4 SRX 2.8 TDI 6 AT 7A,1,Privado,Física,SAN JUSTO,BUENOS AIRES,Masculino,1955,ARGENTINA,50,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2024-08-01,2009-09-21,1103,ZARATE Nº 1,Buenos Aires,Nacional,2009,12,SEDAN 4 PTAS,19,FORD,VE,FOCUSEXE TREND PLUS 2.OL NAFTA,1,Privado,Física,ZARATE,BUENOS AIRES,Femenino,1988,ARGENTINA,100,06,200
