"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-18","2004-07-20",1169,"OLIVOS Nº 05","Buenos Aires","Nacional","2004","","MINIBUS","29","MERCEDES BENZ","AZ","SPRINTER 313 CDI/C 3550","1","Privado","Física","FLORIDA OESTE","BUENOS AIRES","Femenino","1966","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-18","1999-09-29",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","2000","","BERLINA 3 PTAS.","37","RENAULT","CA","CLIO RL 3PTAS","1","Privado","Física","NUEVE DE ABRIL","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-13","2008-05-27",1174,"LA MATANZA Nº 07","Buenos Aires","Nacional","2008","","FURGON VIDRIADO C/ASIENTOS","37","RENAULT","UL","KANGOO CONFORT 1.6 CD SVT 1PL","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1982","BOLIVIA",50,"06","BOL"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-04","2006-08-22",1200,"SAN MARTIN Nº 6","Buenos Aires","Nacional","2006","","SEMIRREMOLQUE BATEA","AS","PETINARI","30","SEM B 3 E/2006","1","Privado","Física","SAN MARTIN","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-11","1998-07-20",1078,"LA MATANZA Nº 01","Buenos Aires","Importado","1998","","FURGON VIDRIADO","024","CHEVROLET","259","CORSA COMBO 1.7","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","No identificado","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-31","1996-03-07",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","1996","","FAMILIAR","37","RENAULT","37","TRAFIC","1","Privado","Física","GONZALEZ CATAN","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-06","1999-06-30",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","51","CORSA 4 PUERTAS GL","1","Privado","Física","LAFERRERE","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-13","2000-07-18",1146,"MERLO Nº 2","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 PUERTAS 1.0 N","1","Privado","Física","LIBERTAD  MERLO","BUENOS AIRES","No identificado","1983","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-04","1995-04-26",1005,"AVELLANEDA Nº 2","Buenos Aires","Nacional","1995","","BERLINA 5 PUERTAS","37","RENAULT","AH","RENAULT 19 RN INYEC.(BIC)","1","Privado","Física","SARANDI-AVELLANEDA","BUENOS AIRES","No identificado","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-19","2000-06-06",1134,"LANUS Nº 3","Buenos Aires","Nacional","2000","","RURAL 3 PTAS","07","CITROEN","06","BERLINGO DPL","1","Privado","Física","LANUS","BUENOS AIRES","Masculino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-19","1997-11-05",1225,"SAN MARTIN Nº 7","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS","37","RENAULT","99","CLIO RT 5 PTAS AA.DA.","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","Femenino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-28","1999-03-26",1196,"LA PLATA Nº 08","Buenos Aires","Nacional","1999","","S,WAGON","08","CHEVROLET","55","CORSA WAGON  5PTAS.GL A/AC","1","Privado","Física","SAN CARLOS","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-14","1998-02-19",1113,"SAN VICENTE","Buenos Aires","Nacional","1998","","BERLINA 3 PTAS","37","RENAULT","BS","CLIO RL DIESEL 3 PUERTAS","1","Privado","Física","GUERNICA","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-31","2000-05-31",1205,"SAN FERNANDO Nº 3","Buenos Aires","Nacional","2000","","RURAL 3 PTAS","34","PEUGEOT","AF","PARTNER BRKN","1","Privado","Física","VIRREYES","BUENOS AIRES","No identificado","1960","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-03","2008-06-04",1153,"LA MATANZA Nº 05","Buenos Aires","Nacional","2008","","RURAL 5 PUERTAS","53","VOLKSWAGEN","LR","SURAN SDI 80A","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-10-26","2010-07-21",1115,"MORON Nº 01","Buenos Aires","Nacional","2010","","FURGON VIDRIADO C/AS","37","RENAULT","VW","KANGOO CONFORT 1.6 CD AA SVT1PL 600KG","1","Privado","Física","MORÓN","BUENOS AIRES","No identificado","1985","ARGENTINA",100,"06","ARG"
