"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-02","1999-01-08",1237,"LOMAS DE ZAMORA Nº 7","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","52","CORSA 4 PUERTAS GL A/A Y","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","No identificado","1980","BOLIVIA",100,"06","BOL"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-14","2000-04-28",1186,"MORENO Nº 2","Buenos Aires","Nacional","2000","","COMBI 3550","29","MERCEDES BENZ","93","SPRINTER 310D/C3550","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1955","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-22","1997-10-03",1264,"ADROGUE Nº 5","Buenos Aires","Nacional","1997","","BERLINA 5 PUERTAS","37","RENAULT","BV","CLIO RN 5 PTAS A.A.","1","Privado","Física","LONGCHAMPS","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-15","1999-10-05",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 LTS","1","Privado","Física","RAFAEL CASTILLO","BUENOS AIRES","Masculino","2003","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-15","1999-03-03",1064,"MORENO Nº 1","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS","37","RENAULT","CA","CLIO RL 3PTAS.","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1999","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-21","1998-10-30",1103,"ZARATE Nº 1","Buenos Aires","Nacional","1998","","BERLINA 4 PTAS","37","RENAULT","CK","MEGANE RT TRIC 2.0","1","Privado","Física","ZARATE","BUENOS AIRES","Masculino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-07","2000-09-19",1186,"MORENO Nº 2","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 MPFI","1","Privado","Física","PASO DEL REY","BUENOS AIRES","Masculino","1994","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-06","1991-10-08",1093,"SAN PEDRO Nº 1","Buenos Aires","Nacional","1991","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","SAN PEDRO","BUENOS AIRES","Femenino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-02","1993-09-01",1174,"LA MATANZA Nº 07","Buenos Aires","Importado","1993","","AUTOMOVIL","004","ALFA ROMEO","093","164 FULL","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-12-07","2011-09-12",1167,"LOMAS DE ZAMORA Nº 5","Buenos Aires","Protocolo 21","2011","","FURGON VIDRIADO C/ASIENTOS","044","FIAT","305","FIORINO FIRE 1242 MPI 8V","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Femenino","1981","ARGENTINA",100,"06","ARG"
