"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-18","2007-05-04",1005,"AVELLANEDA Nº 2","Buenos Aires","Protocolo 21","2007","","TTE.DE CARGA","047","FORD",".ZZ","F-4000 D","1","Privado","Física","AVELLANEDA","BUENOS AIRES","No identificado","1961","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-01","2006-07-04",1062,"MERLO Nº 1","Buenos Aires","Nacional","2006","","FURGON VIDR.C/ASIENTOS","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LIBERTAD","BUENOS AIRES","Femenino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-24","2000-01-12",1145,"QUILMES Nº 4","Buenos Aires","Nacional","2000","","BERLINA 3 PTAS","37","RENAULT","DT","CLIO RN 3 PTAS. PACK AA DA","1","Privado","Física","BERNAL OESTE","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-16","2002-10-08",1158,"TRES DE FEBRERO Nº 3","Buenos Aires","Nacional","2002","","FURGON FAMILIAR","07","CITROEN","15","BERLINGO DIESEL MULT 2PLC AA","1","Privado","Física","CASEROS","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-28","1999-09-10",1107,"LANUS Nº 2","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL 1.7 DIESEL A","1","Privado","Física","MONTE CHINGOLO","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-09","1986-08-14",1084,"SAN ANTONIO DE ARECO","Buenos Aires","Nacional","1986","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","SAN ANTONIO DE ARECO","BUENOS AIRES","No identificado","1957","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-24","2013-01-24",1119,"MORON Nº 03","Buenos Aires","Nacional","2013","","FURG VIDRIA C/ASIENT","07","CITROEN","AX","BERLINGO FURGON 1.6 HDI FULL AM53","1","Privado","Física","HAEDO","BUENOS AIRES","No identificado","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-25","1997-09-10",1228,"LA PLATA Nº 10","Buenos Aires","Nacional","1997","","FURGON VID.C/ASIENTO","37","RENAULT","37","TRAFIC CORTO DIESEL","1","Privado","Física","LA PLATA","BUENOS AIRES","Masculino","1949","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-29","1999-07-16",1216,"QUILMES Nº 7","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","51","CORSA 4 PUERTAS GL","1","Privado","Física","BERNAL","BUENOS AIRES","Masculino","1960","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-07","1998-12-23",1192,"MORON Nº 07","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","67","CORSA 4P GL 1.7 DIESEL C/","1","Privado","Física","MORON","BUENOS AIRES","Masculino","1991","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-18","1989-05-04",1193,"LUJAN Nº 2","Buenos Aires","Nacional","1989","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Jurídica","CARLOS KEEN","BUENOS AIRES","No aplica","2003","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-25","1995-03-21",23007,"TUCUMAN Nº 6","Tucumán","Nacional","1995","","SEDAN 2 PUERTAS","17","FIAT","66","VIVACE","1","Privado","Física","SAN MIGUEL DE TUCUMAN","TUCUMAN","No identificado","2000","ARGENTINA",100,"90","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-04","2000-09-13",1065,"MORON Nº 02","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 MPFI","1","Privado","Física","MORON","BUENOS AIRES","Femenino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-24","2008-06-11",1225,"SAN MARTIN Nº 7","Buenos Aires","Nacional","2008","","FURGON VIDRIADO CON ASIENTOS","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","LOMA HERMOSA","BUENOS AIRES","No identificado","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-14","2000-05-31",1062,"MERLO Nº 1","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","MARIANO ACOSTA","BUENOS AIRES","Femenino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-30","2007-05-11",1194,"AVELLANEDA Nº 5","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","PIÑEIRO","BUENOS AIRES","Masculino","1990","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-22","1996-06-06",1112,"NAVARRO","Buenos Aires","Nacional","1996","","CHASIS C/CABINA P/CA","29","MERCEDES BENZ","55","BM386 VERSION 1633","1","Privado","Física","LASHERAS","BUENOS AIRES","Masculino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2022-11-24","1995-02-07",1044,"LA PLATA Nº 02","Buenos Aires","Protocolo 21","1995","","BERLINA 3 PUERTAS","","RENAULT","","TWINGO","1","Privado","Física","CITY BELL","BUENOS AIRES","Femenino","1993","ARGENTINA",100,"06","ARG"
